SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1952197N27130,GILDA,1952-07-18 12:00:00,26.8,122.6,193,45.0,, , , , ,,3
1952197N27130,GILDA,1952-07-18 15:00:00,27.0,122.2,151,48.0,, , , , ,,3
1952197N27130,GILDA,1952-07-18 18:00:00,27.3,121.9,107,50.0,, , , , ,,2
1952197N27130,GILDA,1952-07-18 21:00:00,27.6,121.5,59,50.0,, , , , ,,2
1952197N27130,GILDA,1952-07-19 00:00:00,27.9,121.2,22,50.0,, , , , ,,1
1952197N27130,GILDA,1952-07-19 03:00:00,28.2,121.0,0,45.0,, , , , ,,1
1952197N27130,GILDA,1952-07-19 06:00:00,28.5,120.7,0,40.0,, , , , ,,1
1952197N27130,GILDA,1952-07-19 09:00:00,28.8,120.5,0,35.0,, , , , ,,1
1952197N27130,GILDA,1952-07-19 12:00:00,29.1,120.2,0,30.0,, , , , ,,0
1952197N27130,GILDA,1952-07-19 15:00:00,29.5,120.0,0,30.0,, , , , ,,0
1952197N27130,GILDA,1952-07-19 18:00:00,29.8,119.8,0,30.0,, , , , ,,0
1952197N27130,GILDA,1952-07-19 21:00:00,30.1,119.5,0,33.0,, , , , ,,0
1952197N27130,GILDA,1952-07-20 00:00:00,30.4,119.2,0,35.0,, , , , ,,0
