SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1952312N08150,BESS,1952-11-12 09:00:00,17.4,123.9,155,88.0,, , , , ,,6
1952312N08150,BESS,1952-11-12 12:00:00,17.9,123.6,143,90.0,, , , , ,,6
1952312N08150,BESS,1952-11-12 15:00:00,18.5,123.2,95,90.0,, , , , ,,6
1952312N08150,BESS,1952-11-12 18:00:00,19.1,122.9,100,90.0,, , , , ,,6
1952312N08150,BESS,1952-11-12 21:00:00,19.6,122.5,135,93.0,, , , , ,,6
1952312N08150,BESS,1952-11-13 00:00:00,20.0,122.0,179,95.0,, , , , ,,6
1952312N08150,BESS,1952-11-13 03:00:00,20.4,121.5,178,98.0,, , , , ,,6
1952312N08150,BESS,1952-11-13 06:00:00,20.8,121.0,123,100.0,, , , , ,,6
1952312N08150,BESS,1952-11-13 09:00:00,21.1,120.6,90,100.0,, , , , ,,6
1952312N08150,BESS,1952-11-13 12:00:00,21.6,120.3,53,100.0,, , , , ,,5
1952312N08150,BESS,1952-11-13 15:00:00,22.3,120.0,38,100.0,, , , , ,,5
1952312N08150,BESS,1952-11-13 18:00:00,23.2,119.8,30,100.0,, , , , ,,4
1952312N08150,BESS,1952-11-13 21:00:00,24.0,119.8,50,95.0,, , , , ,,4
1952312N08150,BESS,1952-11-14 00:00:00,24.7,120.0,69,90.0,, , , , ,,4
1952312N08150,BESS,1952-11-14 03:00:00,25.2,120.5,55,88.0,, , , , ,,4
1952312N08150,BESS,1952-11-14 06:00:00,25.6,121.1,53,85.0,, , , , ,,3
1952312N08150,BESS,1952-11-14 09:00:00,26.1,121.9,104,83.0,, , , , ,,3
1952312N08150,BESS,1952-11-14 12:00:00,26.6,122.8,195,80.0,, , , , ,,2
1952312N08150,BESS,1952-11-15 15:00:00,29.4,131.4,190,40.0,, , , , ,, 
