SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1952326N07144,DELLA,1952-11-23 12:00:00,14.4,125.8,161,90.0,, , , , ,,3
1952326N07144,DELLA,1952-11-23 15:00:00,14.4,125.3,112,95.0,, , , , ,,3
1952326N07144,DELLA,1952-11-23 18:00:00,14.4,124.9,77,100.0,, , , , ,,4
1952326N07144,DELLA,1952-11-23 21:00:00,14.4,124.5,49,100.0,, , , , ,,4
1952326N07144,DELLA,1952-11-24 00:00:00,14.6,124.2,67,100.0,, , , , ,,4
1952326N07144,DELLA,1952-11-24 03:00:00,14.9,124.1,100,100.0,, , , , ,,4
1952326N07144,DELLA,1952-11-24 06:00:00,15.3,124.0,145,100.0,, , , , ,,4
1952326N07144,DELLA,1952-11-24 09:00:00,15.6,123.8,181,95.0,, , , , ,,4
1952326N07144,DELLA,1952-11-24 12:00:00,15.9,123.6,153,90.0,, , , , ,,5
1952326N07144,DELLA,1952-11-24 15:00:00,16.2,123.3,115,90.0,, , , , ,,5
1952326N07144,DELLA,1952-11-24 18:00:00,16.5,122.9,61,90.0,, , , , ,,5
1952326N07144,DELLA,1952-11-24 21:00:00,16.8,122.6,15,95.0,, , , , ,,5
1952326N07144,DELLA,1952-11-25 00:00:00,17.1,122.2,0,100.0,, , , , ,,5
1952326N07144,DELLA,1952-11-25 03:00:00,17.4,122.0,0,113.0,, , , , ,,5
1952326N07144,DELLA,1952-11-25 06:00:00,17.8,121.8,0,125.0,, , , , ,,4
1952326N07144,DELLA,1952-11-25 09:00:00,18.0,121.5,0,138.0,, , , , ,,4
1952326N07144,DELLA,1952-11-25 12:00:00,18.2,121.3,0,150.0,, , , , ,,4
1952326N07144,DELLA,1952-11-25 15:00:00,18.6,121.1,11,150.0,, , , , ,,4
1952326N07144,DELLA,1952-11-25 18:00:00,19.1,121.0,56,150.0,, , , , ,,4
1952326N07144,DELLA,1952-11-25 21:00:00,19.5,120.7,101,140.0,, , , , ,,4
1952326N07144,DELLA,1952-11-26 00:00:00,19.9,120.5,148,130.0,, , , , ,,4
1952326N07144,DELLA,1952-11-26 03:00:00,20.3,120.3,183,120.0,, , , , ,,4
1952326N07144,DELLA,1952-11-26 06:00:00,20.6,120.1,158,110.0,, , , , ,,4
1952326N07144,DELLA,1952-11-26 09:00:00,21.0,119.9,130,100.0,, , , , ,,4
1952326N07144,DELLA,1952-11-26 12:00:00,21.4,119.8,108,90.0,, , , , ,,3
1952326N07144,DELLA,1952-11-26 15:00:00,21.8,119.7,99,83.0,, , , , ,,3
1952326N07144,DELLA,1952-11-26 18:00:00,22.2,119.5,88,75.0,, , , , ,,2
1952326N07144,DELLA,1952-11-26 21:00:00,22.7,119.5,72,65.0,, , , , ,,2
1952326N07144,DELLA,1952-11-27 00:00:00,23.1,119.4,71,55.0,, , , , ,,1
1952326N07144,DELLA,1952-11-27 03:00:00,23.5,119.4,72,50.0,, , , , ,,1
1952326N07144,DELLA,1952-11-27 06:00:00,23.9,119.6,60,45.0,, , , , ,,1
1952326N07144,DELLA,1952-11-27 09:00:00,24.1,119.8,51,38.0,, , , , ,,1
1952326N07144,DELLA,1952-11-27 12:00:00,24.2,120.0,45,30.0,, , , , ,,1
