SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1953176N05150,KIT,1953-07-03 09:00:00,22.3,123.0,186,110.0,, , , , ,,6
1953176N05150,KIT,1953-07-03 12:00:00,22.8,122.4,107,110.0,, , , , ,,6
1953176N05150,KIT,1953-07-03 15:00:00,23.4,121.8,40,100.0,, , , , ,,6
1953176N05150,KIT,1953-07-03 18:00:00,24.1,121.4,0,90.0,, , , , ,,5
1953176N05150,KIT,1953-07-03 21:00:00,24.7,120.9,0,90.0,, , , , ,,5
1953176N05150,KIT,1953-07-04 00:00:00,25.3,120.6,52,90.0,, , , , ,,5
1953176N05150,KIT,1953-07-04 03:00:00,25.8,120.1,41,75.0,, , , , ,,5
1953176N05150,KIT,1953-07-04 06:00:00,26.2,119.7,9,60.0,, , , , ,,4
1953176N05150,KIT,1953-07-04 09:00:00,26.8,119.5,0,50.0,, , , , ,,4
1953176N05150,KIT,1953-07-04 12:00:00,27.3,119.3,0,40.0,, , , , ,,1
1953176N05150,KIT,1953-07-04 15:00:00,27.9,119.1,0,40.0,, , , , ,,1
1953176N05150,KIT,1953-07-04 18:00:00,28.5,119.0,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-04 21:00:00,29.0,118.9,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 00:00:00,29.5,118.9,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 03:00:00,30.0,118.8,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 06:00:00,30.5,118.8,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 09:00:00,31.2,118.9,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 12:00:00,31.9,119.0,0,40.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 15:00:00,32.6,119.3,0,48.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 18:00:00,33.3,119.6,0,55.0,, , , , ,,0
1953176N05150,KIT,1953-07-05 21:00:00,33.9,120.1,0,55.0,, , , , ,,0
1953176N05150,KIT,1953-07-06 00:00:00,34.5,120.6,35,55.0,, , , , ,,0
1953176N05150,KIT,1953-07-06 03:00:00,35.1,121.0,109,55.0,, , , , ,,0
1953176N05150,KIT,1953-07-06 06:00:00,35.7,121.5,84,55.0,, , , , ,,1
1953176N05150,KIT,1953-07-06 09:00:00,36.5,122.4,34,55.0,, , , , ,,1
1953176N05150,KIT,1953-07-06 12:00:00,37.3,123.6,88,55.0,, , , , ,,1
1953176N05150,KIT,1953-07-06 15:00:00,38.1,125.0,0,48.0,, , , , ,,1
1953176N05150,KIT,1953-07-06 18:00:00,38.8,126.6,0,40.0,, , , , ,,9
1953176N05150,KIT,1953-07-06 21:00:00,39.3,128.5,61,40.0,, , , , ,,9
1953176N05150,KIT,1953-07-07 00:00:00,39.7,130.4,135,40.0,, , , , ,,9
1953176N05150,KIT,1953-07-07 18:00:00,40.5,137.9,166,30.0,, , , , ,,9
1953176N05150,KIT,1953-07-07 21:00:00,40.7,138.7,101,25.0,, , , , ,,9
1953176N05150,KIT,1953-07-08 00:00:00,40.8,139.4,47,20.0,, , , , ,, 
1953176N05150,KIT,1953-07-08 03:00:00,40.9,140.2,8,20.0,, , , , ,, 
1953176N05150,KIT,1953-07-08 06:00:00,41.0,141.0,11,20.0,, , , , ,, 
