SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1953219N08155,NINA,1953-08-16 09:00:00,27.0,123.0,200,120.0,, , , , ,,6
1953219N08155,NINA,1953-08-16 12:00:00,27.4,122.5,133,120.0,, , , , ,,6
1953219N08155,NINA,1953-08-16 15:00:00,27.7,121.9,73,120.0,, , , , ,,6
1953219N08155,NINA,1953-08-16 18:00:00,28.1,121.4,9,120.0,, , , , ,,5
1953219N08155,NINA,1953-08-16 21:00:00,28.3,120.8,0,110.0,, , , , ,,5
1953219N08155,NINA,1953-08-17 00:00:00,28.6,120.2,0,100.0,, , , , ,,4
1953219N08155,NINA,1953-08-17 03:00:00,28.8,119.5,0,95.0,, , , , ,,4
1953219N08155,NINA,1953-08-17 06:00:00,29.0,118.9,0,90.0,, , , , ,,1
1953219N08155,NINA,1953-08-17 09:00:00,29.2,118.5,0,83.0,, , , , ,,1
1953219N08155,NINA,1953-08-17 12:00:00,29.5,118.2,0,75.0,, , , , ,,1
1953219N08155,NINA,1953-08-17 15:00:00,29.8,117.9,0,68.0,, , , , ,,1
1953219N08155,NINA,1953-08-17 18:00:00,30.2,117.7,0,60.0,, , , , ,,0
1953219N08155,NINA,1953-08-17 21:00:00,30.7,117.7,0,55.0,, , , , ,,0
1953219N08155,NINA,1953-08-18 00:00:00,31.1,117.7,0,50.0,, , , , ,,0
1953219N08155,NINA,1953-08-18 03:00:00,31.7,117.6,0,45.0,, , , , ,,0
1953219N08155,NINA,1953-08-18 06:00:00,32.3,117.6,0,40.0,, , , , ,,0
1953219N08155,NINA,1953-08-18 09:00:00,32.8,117.4,0,35.0,, , , , ,,0
1953219N08155,NINA,1953-08-18 12:00:00,33.7,117.5,0,30.0,, , , , ,, 
