SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1955232N09137,IRIS,1955-08-22 06:00:00,20.1,122.9,200,80.0,, , , , ,,4
1955232N09137,IRIS,1955-08-22 15:00:00,20.8,122.4,198,73.0,, , , , ,,4
1955232N09137,IRIS,1955-08-22 18:00:00,20.9,122.3,183,65.0,, , , , ,,5
1955232N09137,IRIS,1955-08-22 21:00:00,21.1,122.2,161,58.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 00:00:00,21.3,122.0,132,50.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 03:00:00,21.5,121.9,112,50.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 06:00:00,21.7,121.8,95,50.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 09:00:00,21.9,121.7,82,50.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 12:00:00,22.2,121.5,61,50.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 15:00:00,22.8,121.1,0,45.0,, , , , ,,5
1955232N09137,IRIS,1955-08-23 18:00:00,23.4,120.7,0,40.0,, , , , ,,4
1955232N09137,IRIS,1955-08-23 21:00:00,23.9,120.5,0,33.0,, , , , ,,4
1955232N09137,IRIS,1955-08-24 00:00:00,24.4,120.3,30,25.0,, , , , ,,3
1955232N09137,IRIS,1955-08-24 03:00:00,24.8,120.1,64,25.0,, , , , ,,3
1955232N09137,IRIS,1955-08-24 06:00:00,25.2,119.7,15,25.0,, , , , ,,2
1955232N09137,IRIS,1955-08-24 09:00:00,25.5,119.4,0,25.0,, , , , ,,2
1955232N09137,IRIS,1955-08-24 12:00:00,25.7,118.9,0,25.0,, , , , ,,0
