SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1956242N16132,DINAH,1956-09-02 18:00:00,23.2,123.2,182,90.0,, , , , ,,5
1956242N16132,DINAH,1956-09-02 21:00:00,23.6,122.6,112,88.0,, , , , ,,5
1956242N16132,DINAH,1956-09-03 00:00:00,23.9,122.0,46,85.0,, , , , ,,5
1956242N16132,DINAH,1956-09-03 03:00:00,24.3,121.5,0,85.0,, , , , ,,5
1956242N16132,DINAH,1956-09-03 06:00:00,24.8,121.0,0,85.0,, , , , ,,5
1956242N16132,DINAH,1956-09-03 09:00:00,25.1,120.5,51,83.0,, , , , ,,5
1956242N16132,DINAH,1956-09-03 12:00:00,25.5,120.1,41,80.0,, , , , ,,4
1956242N16132,DINAH,1956-09-03 15:00:00,25.8,119.6,0,78.0,, , , , ,,4
1956242N16132,DINAH,1956-09-03 18:00:00,26.2,119.0,0,75.0,, , , , ,,4
1956242N16132,DINAH,1956-09-03 21:00:00,26.8,118.5,0,70.0,, , , , ,,4
1956242N16132,DINAH,1956-09-04 00:00:00,27.5,118.0,0,65.0,, , , , ,,3
1956242N16132,DINAH,1956-09-04 03:00:00,28.0,117.7,0,58.0,, , , , ,,3
1956242N16132,DINAH,1956-09-04 06:00:00,28.6,117.6,0,50.0,, , , , ,,0
1956242N16132,DINAH,1956-09-04 09:00:00,29.3,117.8,0,43.0,, , , , ,,0
1956242N16132,DINAH,1956-09-04 12:00:00,30.2,118.1,0,35.0,, , , , ,,0
1956242N16132,DINAH,1956-09-04 15:00:00,31.1,118.3,0,30.0,, , , , ,,0
1956242N16132,DINAH,1956-09-04 18:00:00,32.1,118.5,0,25.0,, , , , ,,0
