SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1956257N18131,FREDA,1956-09-15 15:00:00,23.6,123.5,191,83.0,, , , , ,,5
1956257N18131,FREDA,1956-09-15 18:00:00,23.8,123.2,153,80.0,, , , , ,,5
1956257N18131,FREDA,1956-09-15 21:00:00,24.0,122.9,115,80.0,, , , , ,,5
1956257N18131,FREDA,1956-09-16 00:00:00,24.2,122.6,78,80.0,, , , , ,,5
1956257N18131,FREDA,1956-09-16 03:00:00,24.4,122.1,23,73.0,, , , , ,,5
1956257N18131,FREDA,1956-09-16 06:00:00,24.5,121.7,0,65.0,, , , , ,,4
1956257N18131,FREDA,1956-09-16 09:00:00,24.6,121.3,0,65.0,, , , , ,,4
1956257N18131,FREDA,1956-09-16 12:00:00,24.6,121.0,0,65.0,, , , , ,,3
1956257N18131,FREDA,1956-09-16 15:00:00,24.5,120.7,0,65.0,, , , , ,,3
1956257N18131,FREDA,1956-09-16 18:00:00,24.5,120.3,32,65.0,, , , , ,,3
1956257N18131,FREDA,1956-09-16 21:00:00,24.5,120.1,51,60.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 00:00:00,24.4,119.8,67,55.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 03:00:00,24.3,119.6,78,53.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 06:00:00,24.1,119.3,82,50.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 09:00:00,24.0,119.0,69,50.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 12:00:00,23.9,118.7,56,50.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 15:00:00,24.0,118.4,45,48.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 18:00:00,24.0,118.2,30,45.0,, , , , ,,3
1956257N18131,FREDA,1956-09-17 21:00:00,24.2,118.2,15,45.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 00:00:00,24.3,118.2,10,45.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 03:00:00,24.3,118.0,0,43.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 06:00:00,24.3,117.7,0,40.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 09:00:00,24.5,117.3,0,38.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 12:00:00,24.7,117.0,0,35.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 15:00:00,24.9,116.6,0,33.0,, , , , ,,3
1956257N18131,FREDA,1956-09-18 18:00:00,25.0,116.4,0,30.0,, , , , ,,2
1956257N18131,FREDA,1956-09-18 21:00:00,25.2,116.2,0,25.0,, , , , ,,2
1956257N18131,FREDA,1956-09-19 00:00:00,25.3,116.2,0,20.0,, , , , ,,0
