SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1957168N05156,VIRGINIA,1957-06-23 15:00:00,18.3,123.8,158,135.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-23 18:00:00,18.5,123.5,127,135.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-23 21:00:00,18.8,123.2,104,135.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 00:00:00,19.1,122.9,100,135.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 03:00:00,19.4,122.6,116,138.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 06:00:00,19.6,122.3,134,140.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 09:00:00,20.0,122.1,178,140.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 15:00:00,20.6,121.9,178,140.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 18:00:00,21.0,121.8,137,140.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-24 21:00:00,21.3,121.7,106,140.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-25 00:00:00,21.6,121.6,79,140.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-25 03:00:00,21.9,121.5,61,120.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-25 06:00:00,22.4,121.3,38,100.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-25 09:00:00,22.8,121.2,10,95.0,, , , , ,,6
1957168N05156,VIRGINIA,1957-06-25 12:00:00,23.3,121.3,0,90.0,, , , , ,,5
1957168N05156,VIRGINIA,1957-06-25 15:00:00,23.9,121.5,0,83.0,, , , , ,,5
1957168N05156,VIRGINIA,1957-06-25 18:00:00,24.6,121.9,10,75.0,, , , , ,,4
1957168N05156,VIRGINIA,1957-06-25 21:00:00,25.3,122.4,52,73.0,, , , , ,,4
1957168N05156,VIRGINIA,1957-06-26 00:00:00,26.1,122.9,152,70.0,, , , , ,,4
1957168N05156,VIRGINIA,1957-06-26 18:00:00,31.7,125.5,183,65.0,, , , , ,,3
1957168N05156,VIRGINIA,1957-06-26 21:00:00,32.4,126.3,89,60.0,, , , , ,,3
1957168N05156,VIRGINIA,1957-06-27 00:00:00,33.0,127.5,73,55.0,, , , , ,,9
1957168N05156,VIRGINIA,1957-06-27 03:00:00,33.5,129.2,43,50.0,, , , , ,,9
1957168N05156,VIRGINIA,1957-06-27 06:00:00,34.0,131.3,0,45.0,, , , , ,,9
1957168N05156,VIRGINIA,1957-06-27 09:00:00,34.7,133.4,0,45.0,, , , , ,,9
1957168N05156,VIRGINIA,1957-06-27 12:00:00,35.3,135.2,0,45.0,, , , , ,,9
1957168N05156,VIRGINIA,1957-06-27 15:00:00,35.2,135.9,0,43.0,, , , , ,,9
1957168N05156,VIRGINIA,1957-06-27 18:00:00,35.0,136.0,0,40.0,, , , , ,, 
1957168N05156,VIRGINIA,1957-06-27 21:00:00,35.0,136.2,0,38.0,, , , , ,, 
1957168N05156,VIRGINIA,1957-06-28 00:00:00,35.0,136.3,0,35.0,, , , , ,, 
1957168N05156,VIRGINIA,1957-06-28 03:00:00,35.0,136.4,0,33.0,, , , , ,, 
1957168N05156,VIRGINIA,1957-06-28 06:00:00,35.1,136.5,0,30.0,, , , , ,, 
1957168N05156,VIRGINIA,1957-06-28 09:00:00,35.3,136.7,0,25.0,, , , , ,, 
1957168N05156,VIRGINIA,1957-06-28 12:00:00,35.5,137.0,0,20.0,, , , , ,, 
