SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1957249N18125,CARMEN,1957-09-12 06:00:00,19.6,123.6,191,95.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-12 09:00:00,19.6,123.4,177,98.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-12 12:00:00,19.6,123.2,164,100.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-12 15:00:00,19.6,122.9,148,100.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-12 18:00:00,19.6,122.7,140,100.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-12 21:00:00,19.7,122.5,146,103.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 00:00:00,19.7,122.3,145,105.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 03:00:00,19.8,122.1,156,108.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 06:00:00,19.9,121.9,165,110.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 09:00:00,20.1,121.5,179,105.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 12:00:00,20.3,121.1,180,100.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 15:00:00,20.5,120.9,156,95.0,, , , , ,,6
1957249N18125,CARMEN,1957-09-13 18:00:00,20.7,120.7,134,90.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-13 21:00:00,21.0,120.3,108,88.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 00:00:00,21.3,119.9,106,85.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 03:00:00,21.6,119.6,118,80.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 06:00:00,21.9,119.3,122,75.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 09:00:00,22.2,118.9,147,75.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 12:00:00,22.4,118.6,167,75.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 15:00:00,22.8,118.3,123,75.0,, , , , ,,5
1957249N18125,CARMEN,1957-09-14 18:00:00,23.1,118.0,78,75.0,, , , , ,,4
1957249N18125,CARMEN,1957-09-14 21:00:00,23.4,117.7,35,75.0,, , , , ,,4
1957249N18125,CARMEN,1957-09-15 00:00:00,23.8,117.4,0,75.0,, , , , ,,4
1957249N18125,CARMEN,1957-09-15 03:00:00,24.1,117.1,0,75.0,, , , , ,,4
1957249N18125,CARMEN,1957-09-15 06:00:00,24.4,116.8,0,75.0,, , , , ,,0
1957249N18125,CARMEN,1957-09-15 09:00:00,24.6,116.1,0,73.0,, , , , ,,0
1957249N18125,CARMEN,1957-09-15 12:00:00,24.8,115.3,0,70.0,, , , , ,,0
1957249N18125,CARMEN,1957-09-15 15:00:00,25.2,114.9,0,63.0,, , , , ,,0
1957249N18125,CARMEN,1957-09-15 18:00:00,25.6,114.5,0,55.0,, , , , ,, 
1957249N18125,CARMEN,1957-09-15 21:00:00,26.0,113.9,0,50.0,, , , , ,, 
1957249N18125,CARMEN,1957-09-16 00:00:00,26.4,113.2,0,45.0,, , , , ,, 
1957249N18125,CARMEN,1957-09-16 03:00:00,26.8,112.1,0,40.0,, , , , ,, 
1957249N18125,CARMEN,1957-09-16 06:00:00,27.0,112.0,0,35.0,, , , , ,, 
