SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1959190N08145,BILLIE,1959-07-15 03:00:00,24.3,123.3,143,90.0,, , , , ,,5
1959190N08145,BILLIE,1959-07-15 06:00:00,24.8,122.8,83,90.0,, , , , ,,5
1959190N08145,BILLIE,1959-07-15 09:00:00,25.1,122.3,32,85.0,, , , , ,,5
1959190N08145,BILLIE,1959-07-15 12:00:00,25.4,121.9,37,80.0,, , , , ,,4
1959190N08145,BILLIE,1959-07-15 15:00:00,25.7,121.4,55,75.0,, , , , ,,4
1959190N08145,BILLIE,1959-07-15 18:00:00,26.1,121.0,105,70.0,, , , , ,,4
1959190N08145,BILLIE,1959-07-15 21:00:00,26.5,120.6,50,68.0,, , , , ,,4
1959190N08145,BILLIE,1959-07-16 00:00:00,27.1,120.3,0,65.0,, , , , ,,4
1959190N08145,BILLIE,1959-07-16 03:00:00,27.6,120.1,0,63.0,, , , , ,,4
1959190N08145,BILLIE,1959-07-16 06:00:00,28.2,120.1,0,60.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-16 09:00:00,28.7,120.3,0,60.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-16 12:00:00,29.3,120.5,0,60.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-16 15:00:00,29.9,120.8,0,58.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-16 18:00:00,30.6,121.1,9,55.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-16 21:00:00,31.5,121.6,14,53.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-17 00:00:00,32.6,122.2,78,50.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-17 03:00:00,33.7,122.8,194,50.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-17 09:00:00,36.4,124.6,137,48.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-17 12:00:00,37.7,125.7,14,45.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-17 15:00:00,38.9,126.7,0,45.0,, , , , ,,3
1959190N08145,BILLIE,1959-07-17 18:00:00,39.9,127.9,0,45.0,, , , , ,,9
1959190N08145,BILLIE,1959-07-17 21:00:00,40.6,129.1,0,43.0,, , , , ,,9
1959190N08145,BILLIE,1959-07-18 00:00:00,41.0,130.2,41,40.0,, , , , ,,9
