SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1959236N12139,JOAN,1959-08-29 09:00:00,22.7,122.7,140,165.0,, , , , ,,6
1959236N12139,JOAN,1959-08-29 12:00:00,23.1,121.9,51,160.0,, , , , ,,6
1959236N12139,JOAN,1959-08-29 15:00:00,23.4,121.3,0,148.0,, , , , ,,6
1959236N12139,JOAN,1959-08-29 18:00:00,23.8,120.8,0,135.0,, , , , ,,6
1959236N12139,JOAN,1959-08-29 21:00:00,24.1,120.3,15,123.0,, , , , ,,6
1959236N12139,JOAN,1959-08-30 00:00:00,24.5,119.8,80,110.0,, , , , ,,5
1959236N12139,JOAN,1959-08-30 03:00:00,24.9,119.3,24,103.0,, , , , ,,5
1959236N12139,JOAN,1959-08-30 06:00:00,25.3,118.8,0,95.0,, , , , ,,4
1959236N12139,JOAN,1959-08-30 09:00:00,25.6,118.2,0,88.0,, , , , ,,4
1959236N12139,JOAN,1959-08-30 12:00:00,26.0,117.7,0,80.0,, , , , ,,1
1959236N12139,JOAN,1959-08-30 15:00:00,26.4,117.2,0,75.0,, , , , ,,1
1959236N12139,JOAN,1959-08-30 18:00:00,26.9,116.9,0,70.0,, , , , ,,0
1959236N12139,JOAN,1959-08-30 21:00:00,27.4,117.0,0,65.0,, , , , ,,0
1959236N12139,JOAN,1959-08-31 00:00:00,27.9,117.3,0,60.0,, , , , ,,0
1959236N12139,JOAN,1959-08-31 03:00:00,28.4,117.3,0,55.0,, , , , ,,0
1959236N12139,JOAN,1959-08-31 06:00:00,28.8,117.5,0,50.0,, , , , ,,0
1959236N12139,JOAN,1959-08-31 09:00:00,29.2,117.8,0,43.0,, , , , ,,0
1959236N12139,JOAN,1959-08-31 12:00:00,29.6,118.4,0,35.0,, , , , ,,0
