SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1959241N12148,LOUISE,1959-09-03 03:00:00,22.1,122.7,174,115.0,, , , , ,,6
1959241N12148,LOUISE,1959-09-03 06:00:00,22.7,122.3,102,120.0,, , , , ,,6
1959241N12148,LOUISE,1959-09-03 09:00:00,23.3,121.9,51,115.0,, , , , ,,6
1959241N12148,LOUISE,1959-09-03 12:00:00,23.9,121.6,10,110.0,, , , , ,,6
1959241N12148,LOUISE,1959-09-03 15:00:00,24.3,121.3,0,105.0,, , , , ,,6
1959241N12148,LOUISE,1959-09-03 18:00:00,24.7,121.1,0,100.0,, , , , ,,4
1959241N12148,LOUISE,1959-09-03 21:00:00,25.0,120.8,20,90.0,, , , , ,,4
1959241N12148,LOUISE,1959-09-04 00:00:00,25.2,120.6,46,80.0,, , , , ,,4
1959241N12148,LOUISE,1959-09-04 03:00:00,25.5,120.4,71,65.0,, , , , ,,4
1959241N12148,LOUISE,1959-09-04 06:00:00,25.8,120.2,51,50.0,, , , , ,,4
1959241N12148,LOUISE,1959-09-04 09:00:00,26.0,120.1,39,45.0,, , , , ,,4
1959241N12148,LOUISE,1959-09-04 12:00:00,26.3,120.0,19,40.0,, , , , ,,3
1959241N12148,LOUISE,1959-09-04 15:00:00,26.6,120.0,0,38.0,, , , , ,,3
1959241N12148,LOUISE,1959-09-04 18:00:00,26.8,120.0,0,35.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-04 21:00:00,27.0,120.0,0,33.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 00:00:00,27.3,120.1,0,30.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 03:00:00,27.6,120.2,0,28.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 06:00:00,28.0,120.4,0,25.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 09:00:00,28.4,120.5,0,23.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 12:00:00,29.0,120.7,0,20.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 15:00:00,29.6,121.0,0,20.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 18:00:00,30.3,121.2,11,20.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-05 21:00:00,30.9,121.5,0,23.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 00:00:00,31.5,121.8,22,25.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 03:00:00,32.0,121.9,18,28.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 06:00:00,32.6,122.1,69,30.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 09:00:00,33.2,122.3,122,30.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 12:00:00,33.8,122.4,169,30.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 18:00:00,35.3,122.8,173,35.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-06 21:00:00,36.0,123.1,113,38.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-07 00:00:00,36.7,123.5,91,40.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-07 03:00:00,37.4,124.1,94,40.0,, , , , ,,2
1959241N12148,LOUISE,1959-09-07 06:00:00,38.2,124.8,8,40.0,, , , , ,,9
1959241N12148,LOUISE,1959-09-07 09:00:00,39.1,125.5,0,38.0,, , , , ,,9
1959241N12148,LOUISE,1959-09-07 12:00:00,40.3,125.8,0,35.0,, , , , ,,9
