SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1960210N13134,SHIRLEY,1960-07-31 00:00:00,23.6,123.4,182,135.0,, , , , ,,6
1960210N13134,SHIRLEY,1960-07-31 03:00:00,23.9,123.1,138,133.0,, , , , ,,6
1960210N13134,SHIRLEY,1960-07-31 06:00:00,24.2,122.8,97,130.0,, , , , ,,6
1960210N13134,SHIRLEY,1960-07-31 09:00:00,24.5,122.4,50,125.0,, , , , ,,6
1960210N13134,SHIRLEY,1960-07-31 12:00:00,24.6,122.1,23,120.0,, , , , ,,6
1960210N13134,SHIRLEY,1960-07-31 15:00:00,24.8,121.7,0,110.0,, , , , ,,6
1960210N13134,SHIRLEY,1960-07-31 18:00:00,25.0,121.3,0,100.0,, , , , ,,5
1960210N13134,SHIRLEY,1960-07-31 21:00:00,25.2,121.0,22,95.0,, , , , ,,5
1960210N13134,SHIRLEY,1960-08-01 00:00:00,25.4,120.7,53,90.0,, , , , ,,5
1960210N13134,SHIRLEY,1960-08-01 03:00:00,25.6,120.4,73,80.0,, , , , ,,5
1960210N13134,SHIRLEY,1960-08-01 06:00:00,25.9,120.1,39,70.0,, , , , ,,4
1960210N13134,SHIRLEY,1960-08-01 09:00:00,26.1,119.9,22,65.0,, , , , ,,4
1960210N13134,SHIRLEY,1960-08-01 12:00:00,26.5,119.7,0,60.0,, , , , ,,4
1960210N13134,SHIRLEY,1960-08-01 15:00:00,26.9,119.5,0,53.0,, , , , ,,4
1960210N13134,SHIRLEY,1960-08-01 18:00:00,27.4,119.4,0,45.0,, , , , ,,3
1960210N13134,SHIRLEY,1960-08-01 21:00:00,28.0,119.3,0,40.0,, , , , ,,3
1960210N13134,SHIRLEY,1960-08-02 00:00:00,28.7,119.2,0,35.0,, , , , ,,0
1960210N13134,SHIRLEY,1960-08-02 03:00:00,29.6,119.0,0,33.0,, , , , ,,0
1960210N13134,SHIRLEY,1960-08-02 06:00:00,30.4,118.6,0,30.0,, , , , ,,0
1960210N13134,SHIRLEY,1960-08-02 09:00:00,30.9,118.3,0,25.0,, , , , ,,0
1960210N13134,SHIRLEY,1960-08-02 12:00:00,31.3,117.9,0,20.0,, , , , ,,0
1960210N13134,SHIRLEY,1960-08-02 15:00:00,31.7,117.6,0,20.0,, , , , ,,0
1960210N13134,SHIRLEY,1960-08-02 18:00:00,32.0,117.5,0,20.0,, , , , ,,0
