SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1960231N22117,ELAINE,1960-08-21 15:00:00,20.4,119.7,197,70.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-21 18:00:00,20.5,120.1,168,70.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-21 21:00:00,20.7,120.5,135,73.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 00:00:00,21.0,121.0,101,75.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 03:00:00,21.3,121.3,78,75.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 06:00:00,21.7,121.5,65,75.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 09:00:00,22.1,121.8,92,70.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 12:00:00,22.6,122.0,83,65.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 15:00:00,23.0,122.2,82,60.0,, , , , ,,4
1960231N22117,ELAINE,1960-08-22 18:00:00,23.4,122.3,88,55.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-22 21:00:00,23.8,122.4,87,53.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 00:00:00,24.0,122.3,67,50.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 03:00:00,23.9,122.0,46,43.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 06:00:00,23.5,121.6,20,35.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 09:00:00,23.2,121.0,0,35.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 12:00:00,22.9,120.5,0,35.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 15:00:00,22.9,120.3,0,35.0,, , , , ,,3
1960231N22117,ELAINE,1960-08-23 18:00:00,23.0,120.1,10,35.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-23 21:00:00,23.1,119.9,20,38.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 00:00:00,23.3,119.7,42,40.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 03:00:00,23.3,119.4,72,40.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 06:00:00,23.3,119.2,92,40.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 09:00:00,23.4,119.0,114,40.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 12:00:00,23.4,118.7,98,40.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 15:00:00,23.5,118.3,67,38.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 18:00:00,23.5,117.9,37,35.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-24 21:00:00,23.4,117.4,30,33.0,, , , , ,,2
1960231N22117,ELAINE,1960-08-25 00:00:00,23.3,116.9,10,30.0,, , , , ,,0
1960231N22117,ELAINE,1960-08-25 03:00:00,23.4,116.4,0,25.0,, , , , ,,0
1960231N22117,ELAINE,1960-08-25 06:00:00,23.6,116.0,0,20.0,, , , , ,,0
