SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1961188N10147,ELSIE,1961-07-12 21:00:00,21.3,122.6,188,78.0,, , , , ,,4
1961188N10147,ELSIE,1961-07-13 00:00:00,21.4,122.4,164,80.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 03:00:00,21.5,122.1,131,80.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 06:00:00,21.6,121.9,108,80.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 09:00:00,21.7,121.6,75,80.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 12:00:00,21.7,121.4,56,80.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 15:00:00,21.8,121.2,32,75.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 18:00:00,21.9,120.9,0,70.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-13 21:00:00,22.0,120.7,0,70.0,, , , , ,,5
1961188N10147,ELSIE,1961-07-14 00:00:00,22.2,120.4,23,70.0,, , , , ,,4
1961188N10147,ELSIE,1961-07-14 03:00:00,22.2,120.0,45,65.0,, , , , ,,4
1961188N10147,ELSIE,1961-07-14 06:00:00,22.2,119.7,70,60.0,, , , , ,,4
1961188N10147,ELSIE,1961-07-14 09:00:00,22.2,119.3,108,55.0,, , , , ,,4
1961188N10147,ELSIE,1961-07-14 12:00:00,22.2,118.9,147,50.0,, , , , ,,3
1961188N10147,ELSIE,1961-07-14 15:00:00,22.4,118.4,166,45.0,, , , , ,,3
1961188N10147,ELSIE,1961-07-14 18:00:00,22.6,117.8,123,40.0,, , , , ,,3
1961188N10147,ELSIE,1961-07-14 21:00:00,22.8,117.1,62,35.0,, , , , ,,3
1961188N10147,ELSIE,1961-07-15 00:00:00,23.1,116.4,0,30.0,, , , , ,,1
1961188N10147,ELSIE,1961-07-15 03:00:00,23.4,115.8,0,28.0,, , , , ,,1
1961188N10147,ELSIE,1961-07-15 06:00:00,23.9,115.4,0,25.0,, , , , ,,0
