SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1961231N12134,LORNA,1961-08-24 12:00:00,21.2,122.4,173,120.0,, , , , ,,6
1961231N12134,LORNA,1961-08-24 15:00:00,21.5,122.0,122,110.0,, , , , ,,6
1961231N12134,LORNA,1961-08-24 18:00:00,21.9,121.6,72,100.0,, , , , ,,6
1961231N12134,LORNA,1961-08-24 21:00:00,22.3,121.1,20,83.0,, , , , ,,6
1961231N12134,LORNA,1961-08-25 00:00:00,22.7,120.7,0,65.0,, , , , ,,5
1961231N12134,LORNA,1961-08-25 03:00:00,22.9,120.2,0,63.0,, , , , ,,5
1961231N12134,LORNA,1961-08-25 06:00:00,23.1,119.8,30,60.0,, , , , ,,4
1961231N12134,LORNA,1961-08-25 09:00:00,23.5,119.5,62,55.0,, , , , ,,4
1961231N12134,LORNA,1961-08-25 12:00:00,23.8,119.2,94,50.0,, , , , ,,4
1961231N12134,LORNA,1961-08-25 15:00:00,24.0,118.8,59,45.0,, , , , ,,4
1961231N12134,LORNA,1961-08-25 18:00:00,24.3,118.4,30,40.0,, , , , ,,3
1961231N12134,LORNA,1961-08-25 21:00:00,24.6,118.0,0,35.0,, , , , ,,3
1961231N12134,LORNA,1961-08-26 00:00:00,24.9,117.6,0,30.0,, , , , ,,1
1961231N12134,LORNA,1961-08-26 03:00:00,25.1,117.1,0,25.0,, , , , ,,1
1961231N12134,LORNA,1961-08-26 06:00:00,25.3,116.7,0,20.0,, , , , ,,0
1961231N12134,LORNA,1961-08-26 09:00:00,25.4,116.2,0,20.0,, , , , ,,0
1961231N12134,LORNA,1961-08-26 12:00:00,25.5,115.7,0,20.0,, , , , ,,0
