SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1961269N11161,TILDA,1961-10-03 15:00:00,28.1,123.0,138,100.0,, , , , ,,6
1961269N11161,TILDA,1961-10-03 18:00:00,28.5,122.5,81,100.0,, , , , ,,5
1961269N11161,TILDA,1961-10-03 21:00:00,28.8,122.1,38,90.0,, , , , ,,5
1961269N11161,TILDA,1961-10-04 00:00:00,29.0,121.7,0,80.0,, , , , ,,4
1961269N11161,TILDA,1961-10-04 03:00:00,29.3,121.5,0,70.0,, , , , ,,4
1961269N11161,TILDA,1961-10-04 06:00:00,29.6,121.3,0,60.0,, , , , ,,3
1961269N11161,TILDA,1961-10-04 09:00:00,29.9,121.1,0,50.0,, , , , ,,3
1961269N11161,TILDA,1961-10-04 12:00:00,30.2,121.0,9,40.0,, , , , ,,2
1961269N11161,TILDA,1961-10-04 15:00:00,30.6,120.9,0,35.0,, , , , ,,2
1961269N11161,TILDA,1961-10-04 18:00:00,30.9,120.9,0,30.0,, , , , ,,1
1961269N11161,TILDA,1961-10-04 21:00:00,31.2,121.0,0,28.0,, , , , ,,1
1961269N11161,TILDA,1961-10-05 00:00:00,31.6,121.2,0,25.0,, , , , ,,1
1961269N11161,TILDA,1961-10-05 03:00:00,32.0,121.6,0,25.0,, , , , ,,1
1961269N11161,TILDA,1961-10-05 06:00:00,32.3,122.2,57,25.0,, , , , ,,1
