SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1962198N15124,KATE,1962-07-18 18:00:00,18.3,123.9,168,30.0,, , , , ,,1
1962198N15124,KATE,1962-07-18 21:00:00,18.4,123.5,126,35.0,, , , , ,,1
1962198N15124,KATE,1962-07-19 00:00:00,18.6,123.1,87,40.0,, , , , ,,1
1962198N15124,KATE,1962-07-19 03:00:00,18.8,122.8,69,40.0,, , , , ,,1
1962198N15124,KATE,1962-07-19 06:00:00,19.0,122.4,67,40.0,, , , , ,,2
1962198N15124,KATE,1962-07-19 09:00:00,19.2,122.0,90,45.0,, , , , ,,2
1962198N15124,KATE,1962-07-19 12:00:00,19.3,121.6,91,50.0,, , , , ,,2
1962198N15124,KATE,1962-07-19 15:00:00,19.5,121.2,105,55.0,, , , , ,,2
1962198N15124,KATE,1962-07-19 18:00:00,19.6,120.8,111,60.0,, , , , ,,3
1962198N15124,KATE,1962-07-19 21:00:00,19.7,120.3,133,63.0,, , , , ,,3
1962198N15124,KATE,1962-07-20 00:00:00,19.7,119.9,155,65.0,, , , , ,,3
1962198N15124,KATE,1962-07-20 03:00:00,19.7,119.6,176,68.0,, , , , ,,3
1962198N15124,KATE,1962-07-20 06:00:00,19.7,119.5,183,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-20 09:00:00,19.6,119.3,191,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-20 12:00:00,19.6,119.2,199,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-21 06:00:00,19.5,119.2,191,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-21 09:00:00,19.7,119.3,199,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-21 12:00:00,19.9,119.5,199,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-21 18:00:00,20.4,119.9,187,75.0,, , , , ,,4
1962198N15124,KATE,1962-07-21 21:00:00,20.6,120.1,158,78.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 00:00:00,20.9,120.2,123,80.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 03:00:00,21.2,120.5,80,80.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 06:00:00,21.6,120.9,33,80.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 09:00:00,22.1,121.1,20,75.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 12:00:00,22.7,121.4,30,70.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 15:00:00,23.2,121.5,10,65.0,, , , , ,,4
1962198N15124,KATE,1962-07-22 18:00:00,23.9,121.5,0,60.0,, , , , ,,3
1962198N15124,KATE,1962-07-22 21:00:00,24.8,121.5,0,58.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 00:00:00,25.6,121.4,44,55.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 03:00:00,26.2,121.2,113,53.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 06:00:00,26.6,120.9,74,50.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 09:00:00,26.9,120.6,29,45.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 12:00:00,27.2,120.2,0,40.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 15:00:00,27.6,119.9,0,35.0,, , , , ,,3
1962198N15124,KATE,1962-07-23 18:00:00,27.9,119.6,0,30.0,, , , , ,,1
1962198N15124,KATE,1962-07-23 21:00:00,28.3,119.3,0,28.0,, , , , ,,1
1962198N15124,KATE,1962-07-24 00:00:00,28.7,119.1,0,25.0,, , , , ,,0
