SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1962211N09153,OPAL,1962-08-05 06:00:00,22.5,123.1,186,145.0,, , , , ,,6
1962211N09153,OPAL,1962-08-05 09:00:00,23.2,122.7,132,145.0,, , , , ,,6
1962211N09153,OPAL,1962-08-05 12:00:00,23.9,122.3,74,145.0,, , , , ,,6
1962211N09153,OPAL,1962-08-05 15:00:00,24.5,121.6,0,130.0,, , , , ,,6
1962211N09153,OPAL,1962-08-05 18:00:00,24.9,121.0,0,115.0,, , , , ,,6
1962211N09153,OPAL,1962-08-05 21:00:00,25.4,120.6,60,98.0,, , , , ,,6
1962211N09153,OPAL,1962-08-06 00:00:00,25.9,120.2,49,80.0,, , , , ,,4
1962211N09153,OPAL,1962-08-06 03:00:00,26.4,119.7,9,70.0,, , , , ,,4
1962211N09153,OPAL,1962-08-06 06:00:00,27.0,119.3,0,60.0,, , , , ,,3
1962211N09153,OPAL,1962-08-06 09:00:00,27.5,118.9,0,55.0,, , , , ,,3
1962211N09153,OPAL,1962-08-06 12:00:00,28.2,118.5,0,50.0,, , , , ,,0
1962211N09153,OPAL,1962-08-06 15:00:00,29.6,118.1,0,45.0,, , , , ,,0
1962211N09153,OPAL,1962-08-06 18:00:00,31.1,117.8,0,40.0,, , , , ,,0
1962211N09153,OPAL,1962-08-06 21:00:00,32.5,117.8,0,35.0,, , , , ,,0
1962211N09153,OPAL,1962-08-07 00:00:00,33.8,117.9,0,30.0,, , , , ,,1
1962211N09153,OPAL,1962-08-07 03:00:00,34.8,118.0,0,30.0,, , , , ,,1
1962211N09153,OPAL,1962-08-07 06:00:00,35.6,118.3,0,30.0,, , , , ,,1
1962211N09153,OPAL,1962-08-07 09:00:00,36.2,118.9,0,30.0,, , , , ,,1
1962211N09153,OPAL,1962-08-07 12:00:00,36.6,119.8,0,30.0,, , , , ,,2
