SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1962241N14150,AMY,1962-09-04 18:00:00,22.9,123.2,185,130.0,, , , , ,,6
1962241N14150,AMY,1962-09-04 21:00:00,23.4,122.7,126,130.0,, , , , ,,6
1962241N14150,AMY,1962-09-05 00:00:00,23.9,122.2,64,130.0,, , , , ,,5
1962241N14150,AMY,1962-09-05 03:00:00,24.2,121.5,0,110.0,, , , , ,,5
1962241N14150,AMY,1962-09-05 06:00:00,24.4,120.8,0,90.0,, , , , ,,4
1962241N14150,AMY,1962-09-05 09:00:00,24.6,120.5,20,85.0,, , , , ,,4
1962241N14150,AMY,1962-09-05 12:00:00,24.9,120.2,60,80.0,, , , , ,,4
1962241N14150,AMY,1962-09-05 15:00:00,25.4,120.0,30,70.0,, , , , ,,4
1962241N14150,AMY,1962-09-05 18:00:00,25.9,119.7,0,60.0,, , , , ,,3
1962241N14150,AMY,1962-09-05 21:00:00,26.3,119.3,0,53.0,, , , , ,,3
1962241N14150,AMY,1962-09-06 00:00:00,26.7,119.0,0,45.0,, , , , ,,3
1962241N14150,AMY,1962-09-06 03:00:00,27.2,119.0,0,43.0,, , , , ,,3
1962241N14150,AMY,1962-09-06 06:00:00,27.9,119.1,0,40.0,, , , , ,,0
1962241N14150,AMY,1962-09-06 09:00:00,28.5,119.3,0,38.0,, , , , ,,0
1962241N14150,AMY,1962-09-06 12:00:00,29.2,119.6,0,35.0,, , , , ,,0
1962241N14150,AMY,1962-09-06 15:00:00,29.9,119.8,0,35.0,, , , , ,,0
1962241N14150,AMY,1962-09-06 18:00:00,30.7,120.0,0,35.0,, , , , ,,0
1962241N14150,AMY,1962-09-06 21:00:00,31.4,120.3,0,35.0,, , , , ,,0
1962241N14150,AMY,1962-09-07 00:00:00,32.2,120.7,0,35.0,, , , , ,,2
1962241N14150,AMY,1962-09-07 03:00:00,33.1,121.2,35,35.0,, , , , ,,2
1962241N14150,AMY,1962-09-07 06:00:00,34.0,121.9,132,35.0,, , , , ,,2
1962241N14150,AMY,1962-09-07 12:00:00,35.7,123.9,183,40.0,, , , , ,,2
1962241N14150,AMY,1962-09-07 15:00:00,36.8,125.4,63,38.0,, , , , ,,2
1962241N14150,AMY,1962-09-07 18:00:00,38.1,127.3,0,35.0,, , , , ,,9
1962241N14150,AMY,1962-09-07 21:00:00,39.2,129.5,109,33.0,, , , , ,,9
1962241N14150,AMY,1962-09-08 00:00:00,40.3,131.8,185,30.0,, , , , ,,9
