SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1963247N18145,GLORIA,1963-09-10 15:00:00,24.5,123.9,199,115.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-10 18:00:00,24.7,123.5,154,110.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-10 21:00:00,24.9,123.0,101,110.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 00:00:00,25.0,122.5,50,110.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 03:00:00,25.2,122.2,30,100.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 06:00:00,25.3,121.9,30,90.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 09:00:00,25.6,121.5,44,88.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 12:00:00,25.8,121.2,69,85.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 15:00:00,26.1,120.9,97,80.0,, , , , ,,6
1963247N18145,GLORIA,1963-09-11 18:00:00,26.3,120.5,52,75.0,, , , , ,,5
1963247N18145,GLORIA,1963-09-11 21:00:00,26.5,120.2,14,68.0,, , , , ,,5
1963247N18145,GLORIA,1963-09-12 00:00:00,26.5,119.9,9,60.0,, , , , ,,4
1963247N18145,GLORIA,1963-09-12 03:00:00,26.4,119.7,9,53.0,, , , , ,,4
1963247N18145,GLORIA,1963-09-12 06:00:00,26.3,119.6,0,45.0,, , , , ,,3
1963247N18145,GLORIA,1963-09-12 09:00:00,26.1,119.6,9,43.0,, , , , ,,3
1963247N18145,GLORIA,1963-09-12 12:00:00,26.1,119.8,14,40.0,, , , , ,,3
1963247N18145,GLORIA,1963-09-12 15:00:00,26.1,119.9,22,38.0,, , , , ,,3
1963247N18145,GLORIA,1963-09-12 18:00:00,26.2,120.1,31,35.0,, , , , ,,3
1963247N18145,GLORIA,1963-09-12 21:00:00,26.3,120.3,38,35.0,, , , , ,,3
1963247N18145,GLORIA,1963-09-13 00:00:00,26.4,120.5,45,35.0,, , , , ,,2
1963247N18145,GLORIA,1963-09-13 03:00:00,26.5,120.6,50,33.0,, , , , ,,2
1963247N18145,GLORIA,1963-09-13 06:00:00,26.5,120.6,50,30.0,, , , , ,,0
1963247N18145,GLORIA,1963-09-13 09:00:00,26.4,120.3,29,30.0,, , , , ,,0
1963247N18145,GLORIA,1963-09-13 12:00:00,26.1,119.7,11,30.0,, , , , ,,0
