SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1965226N20139,MARY,1965-08-18 06:00:00,24.0,123.7,190,140.0,, , , , ,,6
1965226N20139,MARY,1965-08-18 09:00:00,24.2,123.2,135,120.0,, , , , ,,6
1965226N20139,MARY,1965-08-18 12:00:00,24.3,122.7,83,100.0,, , , , ,,6
1965226N20139,MARY,1965-08-18 15:00:00,24.5,122.2,30,90.0,, , , , ,,6
1965226N20139,MARY,1965-08-18 18:00:00,24.5,121.7,0,80.0,, , , , ,,6
1965226N20139,MARY,1965-08-18 21:00:00,24.6,121.4,0,75.0,, , , , ,,6
1965226N20139,MARY,1965-08-19 00:00:00,24.7,121.2,0,70.0,, , , , ,,5
1965226N20139,MARY,1965-08-19 03:00:00,24.8,120.9,10,70.0,, , , , ,,5
1965226N20139,MARY,1965-08-19 06:00:00,24.9,120.5,39,70.0,, , , , ,,4
1965226N20139,MARY,1965-08-19 09:00:00,25.2,120.1,45,60.0,, , , , ,,4
1965226N20139,MARY,1965-08-19 12:00:00,25.5,119.7,10,50.0,, , , , ,,3
1965226N20139,MARY,1965-08-19 15:00:00,25.6,119.6,10,48.0,, , , , ,,3
1965226N20139,MARY,1965-08-19 18:00:00,25.8,119.4,0,45.0,, , , , ,,2
1965226N20139,MARY,1965-08-19 21:00:00,25.9,119.2,0,40.0,, , , , ,,2
1965226N20139,MARY,1965-08-20 00:00:00,26.0,119.0,0,35.0,, , , , ,,0
1965226N20139,MARY,1965-08-20 03:00:00,26.2,119.0,0,33.0,, , , , ,,0
1965226N20139,MARY,1965-08-20 06:00:00,26.4,119.0,0,30.0,, , , , ,,0
