SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1966241N17147,CORA,1966-09-05 18:00:00,25.3,123.9,194,140.0,, , , , ,,5
1966241N17147,CORA,1966-09-05 21:00:00,25.4,123.5,157,145.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 00:00:00,25.5,123.2,132,150.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 03:00:00,25.7,122.8,112,150.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 06:00:00,25.9,122.4,108,150.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 09:00:00,26.0,122.1,102,150.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 12:00:00,26.2,121.8,113,150.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 15:00:00,26.4,121.5,133,145.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 18:00:00,26.6,121.2,96,140.0,, , , , ,,5
1966241N17147,CORA,1966-09-06 21:00:00,26.8,120.8,51,135.0,, , , , ,,5
1966241N17147,CORA,1966-09-07 00:00:00,27.2,120.4,0,130.0,, , , , ,,4
1966241N17147,CORA,1966-09-07 03:00:00,27.7,120.0,0,98.0,, , , , ,,4
1966241N17147,CORA,1966-09-07 06:00:00,28.2,119.6,0,65.0,, , , , ,,0
1966241N17147,CORA,1966-09-07 09:00:00,29.0,119.4,0,50.0,, , , , ,,0
1966241N17147,CORA,1966-09-07 12:00:00,29.7,119.4,0,35.0,, , , , ,,0
1966241N17147,CORA,1966-09-07 15:00:00,30.4,119.7,0,35.0,, , , , ,,0
1966241N17147,CORA,1966-09-07 18:00:00,31.0,120.1,0,35.0,, , , , ,,0
1966241N17147,CORA,1966-09-07 21:00:00,31.7,120.6,0,35.0,, , , , ,,0
1966241N17147,CORA,1966-09-08 00:00:00,32.3,121.2,0,35.0,, , , , ,,0
1966241N17147,CORA,1966-09-08 03:00:00,32.9,121.7,62,35.0,, , , , ,,0
1966241N17147,CORA,1966-09-08 06:00:00,33.6,122.3,151,35.0,, , , , ,,2
1966241N17147,CORA,1966-09-08 15:00:00,35.4,124.1,193,33.0,, , , , ,,2
1966241N17147,CORA,1966-09-08 18:00:00,35.9,124.7,153,30.0,, , , , ,,2
1966241N17147,CORA,1966-09-08 21:00:00,36.4,125.2,86,28.0,, , , , ,,2
1966241N17147,CORA,1966-09-09 00:00:00,36.7,125.7,35,25.0,, , , , ,,2
