SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1967183N20155,CLARA,1967-07-10 18:00:00,23.3,123.4,198,100.0,, , , , ,,5
1967183N20155,CLARA,1967-07-10 21:00:00,23.4,123.0,156,98.0,, , , , ,,5
1967183N20155,CLARA,1967-07-11 00:00:00,23.6,122.6,112,95.0,, , , , ,,5
1967183N20155,CLARA,1967-07-11 03:00:00,23.8,122.2,69,88.0,, , , , ,,5
1967183N20155,CLARA,1967-07-11 06:00:00,24.0,121.8,23,80.0,, , , , ,,4
1967183N20155,CLARA,1967-07-11 09:00:00,24.2,121.3,0,75.0,, , , , ,,4
1967183N20155,CLARA,1967-07-11 12:00:00,24.4,120.9,0,70.0,, , , , ,,3
1967183N20155,CLARA,1967-07-11 15:00:00,24.6,120.5,20,60.0,, , , , ,,3
1967183N20155,CLARA,1967-07-11 18:00:00,24.9,120.2,60,50.0,, , , , ,,3
1967183N20155,CLARA,1967-07-11 21:00:00,25.2,119.9,30,43.0,, , , , ,,3
1967183N20155,CLARA,1967-07-12 00:00:00,25.6,119.6,10,35.0,, , , , ,,2
1967183N20155,CLARA,1967-07-12 03:00:00,26.0,119.4,0,30.0,, , , , ,,2
1967183N20155,CLARA,1967-07-12 06:00:00,26.4,119.2,0,25.0,, , , , ,,0
