SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1968202N19133,NADINE,1968-07-24 18:00:00,20.1,122.9,200,60.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 00:00:00,20.6,122.2,198,60.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 03:00:00,20.9,121.9,152,60.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 06:00:00,21.2,121.7,113,60.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 09:00:00,21.7,121.3,46,58.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 12:00:00,22.0,120.9,0,55.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 15:00:00,22.3,120.2,24,53.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 18:00:00,22.4,119.5,82,50.0,, , , , ,,4
1968202N19133,NADINE,1968-07-25 21:00:00,22.4,118.8,150,45.0,, , , , ,,4
1968202N19133,NADINE,1968-07-26 00:00:00,22.3,118.2,168,40.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 03:00:00,22.1,117.7,152,38.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 06:00:00,21.9,117.4,145,35.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 09:00:00,21.7,117.1,147,33.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 12:00:00,21.5,117.0,164,30.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 15:00:00,21.5,117.0,164,30.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 18:00:00,21.6,117.1,157,30.0,, , , , ,,3
1968202N19133,NADINE,1968-07-26 21:00:00,21.7,117.0,143,33.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 00:00:00,21.8,117.0,133,35.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 03:00:00,21.9,117.1,127,38.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 06:00:00,22.0,117.2,123,40.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 09:00:00,22.0,117.4,136,45.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 12:00:00,22.1,117.6,144,50.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 15:00:00,22.1,117.8,160,48.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 18:00:00,22.2,118.1,175,45.0,, , , , ,,3
1968202N19133,NADINE,1968-07-27 21:00:00,22.4,118.4,166,45.0,, , , , ,,3
1968202N19133,NADINE,1968-07-28 00:00:00,22.5,118.7,157,45.0,, , , , ,,3
1968202N19133,NADINE,1968-07-28 03:00:00,22.6,119.2,104,43.0,, , , , ,,3
1968202N19133,NADINE,1968-07-28 06:00:00,22.8,119.7,51,40.0,, , , , ,,2
1968202N19133,NADINE,1968-07-28 09:00:00,23.0,120.2,0,35.0,, , , , ,,2
1968202N19133,NADINE,1968-07-28 12:00:00,23.2,120.8,0,30.0,, , , , ,,1
1968202N19133,NADINE,1968-07-28 15:00:00,23.6,121.3,0,28.0,, , , , ,,1
1968202N19133,NADINE,1968-07-28 18:00:00,24.0,121.9,32,25.0,, , , , ,,0
