SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1968240N15151,WENDY,1968-09-04 21:00:00,21.6,122.6,178,80.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 00:00:00,21.7,122.3,146,80.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 03:00:00,21.7,122.0,115,78.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 06:00:00,21.7,121.8,95,75.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 09:00:00,21.8,121.6,73,75.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 12:00:00,21.8,121.4,52,75.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 15:00:00,21.8,121.3,42,73.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 18:00:00,21.8,121.1,23,70.0,, , , , ,,4
1968240N15151,WENDY,1968-09-05 21:00:00,21.7,120.9,22,68.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 00:00:00,21.7,120.6,24,65.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 03:00:00,21.8,120.4,32,63.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 06:00:00,21.9,120.2,51,60.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 09:00:00,22.0,120.0,63,60.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 12:00:00,22.1,119.8,68,60.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 15:00:00,22.1,119.5,93,58.0,, , , , ,,4
1968240N15151,WENDY,1968-09-06 18:00:00,22.1,119.2,121,55.0,, , , , ,,5
1968240N15151,WENDY,1968-09-06 21:00:00,22.0,119.0,144,55.0,, , , , ,,5
1968240N15151,WENDY,1968-09-07 00:00:00,22.0,118.6,183,55.0,, , , , ,,5
1968240N15151,WENDY,1968-09-07 06:00:00,22.0,117.9,175,50.0,, , , , ,,5
1968240N15151,WENDY,1968-09-07 09:00:00,22.0,117.5,143,50.0,, , , , ,,5
1968240N15151,WENDY,1968-09-07 12:00:00,22.0,116.9,108,50.0,, , , , ,,4
1968240N15151,WENDY,1968-09-07 15:00:00,21.8,116.4,115,50.0,, , , , ,,4
1968240N15151,WENDY,1968-09-07 18:00:00,21.7,115.8,111,50.0,, , , , ,,4
1968240N15151,WENDY,1968-09-07 21:00:00,21.4,115.2,126,48.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 00:00:00,21.2,114.5,124,45.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 03:00:00,21.2,113.9,118,45.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 06:00:00,21.2,113.2,80,45.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 09:00:00,21.2,112.5,59,45.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 12:00:00,21.2,111.7,35,45.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 15:00:00,21.1,110.8,23,43.0,, , , , ,,4
1968240N15151,WENDY,1968-09-08 18:00:00,20.9,110.0,0,40.0,, , , , ,,3
1968240N15151,WENDY,1968-09-08 21:00:00,20.8,109.3,41,40.0,, , , , ,,3
1968240N15151,WENDY,1968-09-09 00:00:00,20.8,108.5,84,40.0,, , , , ,,2
1968240N15151,WENDY,1968-09-09 03:00:00,20.8,107.8,47,38.0,, , , , ,,2
1968240N15151,WENDY,1968-09-09 06:00:00,20.8,107.0,15,35.0,, , , , ,,1
