SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1969270N13139,FLOSSIE,1969-10-01 15:00:00,20.6,121.9,178,60.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-01 18:00:00,20.8,121.9,160,60.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-01 21:00:00,21.2,121.9,129,60.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 00:00:00,21.6,121.9,108,60.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 03:00:00,21.9,121.8,92,60.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 06:00:00,22.3,121.7,79,60.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 09:00:00,22.6,121.7,60,58.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 12:00:00,22.8,121.7,45,55.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 15:00:00,23.0,121.9,52,53.0,, , , , ,,4
1969270N13139,FLOSSIE,1969-10-02 18:00:00,23.2,122.1,71,50.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-02 21:00:00,23.4,122.2,78,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 00:00:00,23.7,122.4,91,40.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 03:00:00,23.9,122.5,90,38.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 06:00:00,24.1,122.5,75,35.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 09:00:00,24.1,122.6,83,38.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 12:00:00,24.1,122.7,92,40.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 15:00:00,24.2,122.9,106,43.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 18:00:00,24.2,123.0,116,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-03 21:00:00,24.2,123.0,116,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 00:00:00,24.3,123.1,123,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 03:00:00,24.3,123.2,133,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 06:00:00,24.2,123.3,145,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 09:00:00,24.3,123.4,153,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 12:00:00,24.3,123.5,163,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 15:00:00,24.3,123.6,173,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-04 18:00:00,24.3,123.8,193,45.0,, , , , ,,3
1969270N13139,FLOSSIE,1969-10-09 06:00:00,34.3,142.2,192,50.0,, , , , ,,9
