SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1970245N19131,FRAN,1970-09-06 12:00:00,25.9,123.1,149,55.0,, , , , ,,3
1970245N19131,FRAN,1970-09-06 15:00:00,25.6,122.4,78,53.0,, , , , ,,3
1970245N19131,FRAN,1970-09-06 18:00:00,25.4,121.8,30,50.0,, , , , ,,3
1970245N19131,FRAN,1970-09-06 21:00:00,25.1,121.3,0,48.0,, , , , ,,3
1970245N19131,FRAN,1970-09-07 00:00:00,25.0,120.8,20,45.0,, , , , ,,3
1970245N19131,FRAN,1970-09-07 03:00:00,24.9,120.4,45,45.0,, , , , ,,3
1970245N19131,FRAN,1970-09-07 06:00:00,24.9,120.1,67,45.0,, , , , ,,3
1970245N19131,FRAN,1970-09-07 09:00:00,24.9,119.8,49,43.0,, , , , ,,3
1970245N19131,FRAN,1970-09-07 12:00:00,24.9,119.6,44,40.0,, , , , ,,2
1970245N19131,FRAN,1970-09-07 15:00:00,25.0,119.2,11,40.0,, , , , ,,2
1970245N19131,FRAN,1970-09-07 18:00:00,25.0,118.9,0,40.0,, , , , ,,1
1970245N19131,FRAN,1970-09-07 21:00:00,25.1,118.6,0,35.0,, , , , ,,1
1970245N19131,FRAN,1970-09-08 00:00:00,25.1,118.2,0,30.0,, , , , ,,0
