SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1972187N11126,SUSAN,1972-07-05 00:00:00,11.4,126.4,79,20.0,, , , , ,,0
1972187N11126,SUSAN,1972-07-05 03:00:00,11.7,125.9,43,23.0,, , , , ,,0
1972187N11126,SUSAN,1972-07-05 06:00:00,12.1,125.4,0,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-05 09:00:00,12.5,124.9,0,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-05 12:00:00,12.9,124.3,21,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-05 15:00:00,13.2,123.7,0,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-05 18:00:00,13.5,123.2,0,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-05 21:00:00,13.9,122.6,0,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 00:00:00,14.2,122.2,11,25.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 03:00:00,14.5,122.0,34,28.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 06:00:00,14.7,121.8,10,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 09:00:00,15.0,121.6,10,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 12:00:00,15.2,121.3,0,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 15:00:00,15.4,121.1,0,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 18:00:00,15.5,120.9,0,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-06 21:00:00,15.7,120.7,0,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-07 00:00:00,16.0,120.5,0,30.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-07 03:00:00,16.3,120.2,21,33.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-07 06:00:00,16.6,119.8,33,35.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-07 09:00:00,16.9,119.3,85,38.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-07 12:00:00,17.1,118.8,139,40.0,, , , , ,,1
1972187N11126,SUSAN,1972-07-11 00:00:00,21.1,116.4,189,65.0,, , , , ,,4
1972187N11126,SUSAN,1972-07-11 03:00:00,21.3,116.4,168,65.0,, , , , ,,4
1972187N11126,SUSAN,1972-07-11 06:00:00,21.5,116.5,151,65.0,, , , , ,,3
1972187N11126,SUSAN,1972-07-11 09:00:00,21.7,116.6,133,63.0,, , , , ,,3
1972187N11126,SUSAN,1972-07-11 12:00:00,21.8,116.7,124,60.0,, , , , ,,3
1972187N11126,SUSAN,1972-07-11 15:00:00,22.0,116.7,102,58.0,, , , , ,,3
1972187N11126,SUSAN,1972-07-11 18:00:00,22.1,116.8,94,55.0,, , , , ,,3
1972187N11126,SUSAN,1972-07-11 21:00:00,22.3,116.8,73,53.0,, , , , ,,3
1972187N11126,SUSAN,1972-07-12 00:00:00,22.4,116.8,63,50.0,, , , , ,,3
