SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1972221N11151,BETTY,1972-08-16 09:00:00,25.0,123.7,171,103.0,, , , , ,,6
1972221N11151,BETTY,1972-08-16 12:00:00,25.3,123.1,115,100.0,, , , , ,,5
1972221N11151,BETTY,1972-08-16 15:00:00,25.6,122.5,83,100.0,, , , , ,,5
1972221N11151,BETTY,1972-08-16 18:00:00,25.8,122.0,78,100.0,, , , , ,,5
1972221N11151,BETTY,1972-08-16 21:00:00,26.1,121.7,101,90.0,, , , , ,,5
1972221N11151,BETTY,1972-08-17 00:00:00,26.4,121.3,118,80.0,, , , , ,,5
1972221N11151,BETTY,1972-08-17 03:00:00,26.7,121.0,74,78.0,, , , , ,,5
1972221N11151,BETTY,1972-08-17 06:00:00,27.0,120.6,22,75.0,, , , , ,,5
1972221N11151,BETTY,1972-08-17 09:00:00,27.3,120.2,0,68.0,, , , , ,,5
1972221N11151,BETTY,1972-08-17 12:00:00,27.5,119.7,0,60.0,, , , , ,,4
1972221N11151,BETTY,1972-08-17 15:00:00,27.7,119.3,0,50.0,, , , , ,,4
1972221N11151,BETTY,1972-08-17 18:00:00,27.8,118.9,0,40.0,, , , , ,,1
1972221N11151,BETTY,1972-08-17 21:00:00,27.9,118.5,0,35.0,, , , , ,,1
1972221N11151,BETTY,1972-08-18 00:00:00,28.0,118.1,0,30.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 03:00:00,28.0,117.6,0,30.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 06:00:00,28.1,117.2,0,30.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 09:00:00,28.1,116.7,0,28.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 12:00:00,28.2,116.3,0,25.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 15:00:00,28.2,116.0,0,23.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 18:00:00,28.3,115.7,0,20.0,, , , , ,,0
1972221N11151,BETTY,1972-08-18 21:00:00,28.4,115.4,0,18.0,, , , , ,,0
1972221N11151,BETTY,1972-08-19 00:00:00,28.4,115.1,0,15.0,, , , , ,,0
1972221N11151,BETTY,1972-08-19 03:00:00,28.3,114.9,0,13.0,, , , , ,,0
1972221N11151,BETTY,1972-08-19 06:00:00,28.2,114.9,0,10.0,, , , , ,,0
