SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1973179N11128,WILDA,1973-06-30 00:00:00,16.8,122.0,0,25.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 03:00:00,17.0,121.5,0,25.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 06:00:00,17.2,121.1,0,25.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 09:00:00,17.4,120.6,0,28.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 12:00:00,17.6,120.2,10,30.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 15:00:00,17.7,119.8,54,30.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 18:00:00,17.9,119.5,91,30.0,, , , , ,,1
1973179N11128,WILDA,1973-06-30 21:00:00,18.1,119.1,138,33.0,, , , , ,,1
1973179N11128,WILDA,1973-07-01 00:00:00,18.3,118.8,176,35.0,, , , , ,,2
1973179N11128,WILDA,1973-07-02 09:00:00,21.7,117.6,175,58.0,, , , , ,,3
1973179N11128,WILDA,1973-07-02 12:00:00,22.0,117.7,159,60.0,, , , , ,,3
1973179N11128,WILDA,1973-07-02 15:00:00,22.3,117.7,140,60.0,, , , , ,,3
1973179N11128,WILDA,1973-07-02 18:00:00,22.7,117.7,108,60.0,, , , , ,,4
1973179N11128,WILDA,1973-07-02 21:00:00,23.1,117.8,70,60.0,, , , , ,,4
1973179N11128,WILDA,1973-07-03 00:00:00,23.5,117.9,37,60.0,, , , , ,,4
1973179N11128,WILDA,1973-07-03 03:00:00,24.0,118.1,20,60.0,, , , , ,,4
1973179N11128,WILDA,1973-07-03 06:00:00,24.5,118.3,10,60.0,, , , , ,,4
1973179N11128,WILDA,1973-07-03 09:00:00,24.9,118.4,0,50.0,, , , , ,,4
1973179N11128,WILDA,1973-07-03 12:00:00,25.4,118.4,0,40.0,, , , , ,,3
1973179N11128,WILDA,1973-07-03 15:00:00,25.9,118.5,0,35.0,, , , , ,,3
1973179N11128,WILDA,1973-07-03 18:00:00,26.6,118.4,0,30.0,, , , , ,,1
1973179N11128,WILDA,1973-07-03 21:00:00,27.3,118.3,0,25.0,, , , , ,,1
1973179N11128,WILDA,1973-07-04 00:00:00,27.9,118.2,0,20.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 03:00:00,28.3,118.1,0,20.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 06:00:00,28.7,118.1,0,20.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 09:00:00,29.1,117.9,0,18.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 12:00:00,29.4,117.7,0,15.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 15:00:00,29.6,117.5,0,15.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 18:00:00,29.7,117.3,0,15.0,, , , , ,,0
1973179N11128,WILDA,1973-07-04 21:00:00,29.8,117.1,0,13.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 00:00:00,29.9,116.9,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 03:00:00,29.8,116.4,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 06:00:00,29.7,115.9,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 09:00:00,29.6,115.3,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 12:00:00,29.5,114.7,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 15:00:00,29.3,114.1,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 18:00:00,29.0,113.4,0,10.0,, , , , ,,0
1973179N11128,WILDA,1973-07-05 21:00:00,28.6,112.8,0,13.0,, , , , ,,0
1973179N11128,WILDA,1973-07-06 00:00:00,28.2,112.2,0,15.0,, , , , ,,0
