SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1973274N10136,NORA,1973-10-06 12:00:00,14.8,125.6,163,140.0,, , , , ,,6
1973274N10136,NORA,1973-10-06 15:00:00,14.9,125.2,139,135.0,, , , , ,,6
1973274N10136,NORA,1973-10-06 18:00:00,15.1,124.8,134,130.0,, , , , ,,6
1973274N10136,NORA,1973-10-06 21:00:00,15.3,124.5,147,125.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 00:00:00,15.6,124.2,179,120.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 03:00:00,15.9,123.8,174,118.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 06:00:00,16.3,123.5,125,115.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 09:00:00,16.7,123.2,77,113.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 12:00:00,17.1,123.0,54,110.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 15:00:00,17.6,122.7,46,105.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 18:00:00,18.0,122.5,33,100.0,, , , , ,,6
1973274N10136,NORA,1973-10-07 21:00:00,18.4,122.1,0,95.0,, , , , ,,6
1973274N10136,NORA,1973-10-08 00:00:00,18.8,121.8,49,90.0,, , , , ,,5
1973274N10136,NORA,1973-10-08 03:00:00,19.2,121.4,78,85.0,, , , , ,,5
1973274N10136,NORA,1973-10-08 06:00:00,19.5,121.1,102,80.0,, , , , ,,5
1973274N10136,NORA,1973-10-08 09:00:00,19.8,120.8,134,78.0,, , , , ,,5
1973274N10136,NORA,1973-10-08 12:00:00,20.1,120.6,169,75.0,, , , , ,,4
1973274N10136,NORA,1973-10-08 15:00:00,20.3,120.3,183,75.0,, , , , ,,4
1973274N10136,NORA,1973-10-08 18:00:00,20.5,120.1,168,75.0,, , , , ,,4
1973274N10136,NORA,1973-10-08 21:00:00,20.6,119.9,167,73.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 00:00:00,20.8,119.7,160,70.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 03:00:00,21.1,119.6,144,70.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 06:00:00,21.4,119.5,136,70.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 09:00:00,21.7,119.4,128,70.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 12:00:00,22.0,119.3,117,70.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 15:00:00,22.5,119.2,107,68.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 18:00:00,22.9,119.0,114,65.0,, , , , ,,4
1973274N10136,NORA,1973-10-09 21:00:00,23.4,118.8,113,65.0,, , , , ,,4
1973274N10136,NORA,1973-10-10 00:00:00,23.9,118.5,60,65.0,, , , , ,,4
1973274N10136,NORA,1973-10-10 03:00:00,24.5,118.1,0,53.0,, , , , ,,4
1973274N10136,NORA,1973-10-10 06:00:00,25.0,117.8,0,40.0,, , , , ,,3
1973274N10136,NORA,1973-10-10 09:00:00,25.3,117.5,0,28.0,, , , , ,,3
1973274N10136,NORA,1973-10-10 12:00:00,25.5,117.4,0,15.0,, , , , ,,0
1973274N10136,NORA,1973-10-10 15:00:00,25.8,117.3,0,15.0,, , , , ,,0
1973274N10136,NORA,1973-10-10 18:00:00,26.2,117.1,0,15.0,, , , , ,, 
1973274N10136,NORA,1973-10-10 21:00:00,26.6,116.8,0,13.0,, , , , ,, 
1973274N10136,NORA,1973-10-11 00:00:00,27.0,116.6,0,10.0,, , , , ,, 
