SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1974196N16133,JEAN,1974-07-18 18:00:00,22.8,122.9,157,45.0,, , , , ,,3
1974196N16133,JEAN,1974-07-18 21:00:00,23.2,122.6,122,45.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 00:00:00,23.7,122.4,91,45.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 03:00:00,24.3,122.2,37,43.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 06:00:00,25.0,122.0,0,40.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 09:00:00,25.7,121.9,63,38.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 12:00:00,26.4,121.7,134,35.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 15:00:00,27.3,121.7,97,33.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 18:00:00,28.3,121.7,9,30.0,, , , , ,,3
1974196N16133,JEAN,1974-07-19 21:00:00,29.3,121.8,0,28.0,, , , , ,,3
1974196N16133,JEAN,1974-07-20 00:00:00,30.2,122.0,44,25.0,, , , , ,,2
1974196N16133,JEAN,1974-07-20 03:00:00,31.0,122.3,39,25.0,, , , , ,,2
1974196N16133,JEAN,1974-07-20 06:00:00,31.6,122.6,67,25.0,, , , , ,,1
1974196N16133,JEAN,1974-07-20 09:00:00,32.3,122.8,107,25.0,, , , , ,,1
1974196N16133,JEAN,1974-07-20 12:00:00,33.0,123.1,172,25.0,, , , , ,,1
1974196N16133,JEAN,1974-07-21 00:00:00,35.9,124.0,174,20.0,, , , , ,, 
