SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1974219N16117,LUCY,1974-08-08 00:00:00,16.8,118.4,159,25.0,, , , , ,,0
1974219N16117,LUCY,1974-08-08 03:00:00,17.0,118.6,149,25.0,, , , , ,,0
1974219N16117,LUCY,1974-08-08 06:00:00,17.2,118.6,162,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-08 09:00:00,17.4,118.6,177,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-08 12:00:00,17.6,118.6,180,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-08 15:00:00,17.8,118.6,181,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-08 18:00:00,18.0,118.7,175,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-08 21:00:00,18.2,118.7,182,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-09 00:00:00,18.5,118.9,174,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-09 03:00:00,18.9,119.1,167,28.0,, , , , ,,1
1974219N16117,LUCY,1974-08-09 06:00:00,19.4,119.3,176,30.0,, , , , ,,2
1974219N16117,LUCY,1974-08-09 09:00:00,19.8,119.5,191,33.0,, , , , ,,2
1974219N16117,LUCY,1974-08-09 15:00:00,20.8,119.6,167,35.0,, , , , ,,3
1974219N16117,LUCY,1974-08-09 18:00:00,21.2,119.6,138,35.0,, , , , ,,3
1974219N16117,LUCY,1974-08-09 21:00:00,21.6,119.6,118,35.0,, , , , ,,3
1974219N16117,LUCY,1974-08-10 00:00:00,22.0,119.5,99,35.0,, , , , ,,2
1974219N16117,LUCY,1974-08-10 03:00:00,22.3,119.5,85,35.0,, , , , ,,2
1974219N16117,LUCY,1974-08-10 06:00:00,22.7,119.5,72,35.0,, , , , ,,2
1974219N16117,LUCY,1974-08-10 09:00:00,23.0,119.4,72,35.0,, , , , ,,2
1974219N16117,LUCY,1974-08-10 12:00:00,23.2,119.4,71,35.0,, , , , ,,1
1974219N16117,LUCY,1974-08-10 15:00:00,23.5,119.3,82,33.0,, , , , ,,1
1974219N16117,LUCY,1974-08-10 18:00:00,23.6,119.2,91,30.0,, , , , ,,1
1974219N16117,LUCY,1974-08-10 21:00:00,23.7,119.2,92,28.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 00:00:00,23.8,119.1,93,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 03:00:00,24.0,118.9,63,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 06:00:00,24.3,118.7,24,25.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 09:00:00,24.7,118.6,0,23.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 12:00:00,25.0,118.5,0,20.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 15:00:00,25.2,118.3,0,20.0,, , , , ,,1
1974219N16117,LUCY,1974-08-11 18:00:00,25.5,117.9,0,20.0,, , , , ,,0
1974219N16117,LUCY,1974-08-11 21:00:00,25.9,117.6,0,20.0,, , , , ,,0
1974219N16117,LUCY,1974-08-12 00:00:00,26.4,117.3,0,20.0,, , , , ,,0
