SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1977161N06134,RUTH,1977-06-15 21:00:00,21.6,117.6,184,48.0,, , , , ,,3
1977161N06134,RUTH,1977-06-16 00:00:00,22.1,117.8,160,45.0,, , , , ,,3
1977161N06134,RUTH,1977-06-16 03:00:00,22.6,117.9,126,45.0,, , , , ,,3
1977161N06134,RUTH,1977-06-16 06:00:00,23.2,118.1,75,45.0,, , , , ,,3
1977161N06134,RUTH,1977-06-16 09:00:00,23.8,118.4,55,43.0,, , , , ,,3
1977161N06134,RUTH,1977-06-16 12:00:00,24.3,118.7,24,40.0,, , , , ,,2
1977161N06134,RUTH,1977-06-16 15:00:00,24.8,119.0,15,38.0,, , , , ,,2
1977161N06134,RUTH,1977-06-16 18:00:00,25.4,119.4,10,35.0,, , , , ,,1
1977161N06134,RUTH,1977-06-16 21:00:00,26.0,119.8,9,33.0,, , , , ,,1
1977161N06134,RUTH,1977-06-17 00:00:00,26.6,120.3,19,30.0,, , , , ,,1
1977161N06134,RUTH,1977-06-17 03:00:00,27.1,120.8,31,28.0,, , , , ,,1
1977161N06134,RUTH,1977-06-17 06:00:00,27.6,121.3,51,25.0,, , , , ,,2
1977161N06134,RUTH,1977-06-17 09:00:00,28.0,122.0,51,23.0,, , , , ,,2
1977161N06134,RUTH,1977-06-17 12:00:00,28.2,122.9,127,20.0,, , , , ,,9
