SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1977200N10138,THELMA,1977-07-22 21:00:00,17.4,124.2,186,68.0,, , , , ,,3
1977200N10138,THELMA,1977-07-23 00:00:00,17.6,123.8,152,70.0,, , , , ,,4
1977200N10138,THELMA,1977-07-23 03:00:00,17.9,123.4,124,73.0,, , , , ,,4
1977200N10138,THELMA,1977-07-23 06:00:00,18.2,123.0,74,75.0,, , , , ,,5
1977200N10138,THELMA,1977-07-23 09:00:00,18.5,122.6,33,78.0,, , , , ,,5
1977200N10138,THELMA,1977-07-23 12:00:00,18.7,122.2,33,80.0,, , , , ,,4
1977200N10138,THELMA,1977-07-23 15:00:00,19.0,121.8,70,83.0,, , , , ,,4
1977200N10138,THELMA,1977-07-23 18:00:00,19.2,121.4,78,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-23 21:00:00,19.4,121.0,90,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 00:00:00,19.6,120.7,112,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 03:00:00,19.8,120.3,144,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 06:00:00,20.0,120.0,177,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 12:00:00,20.6,119.7,178,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 15:00:00,20.9,119.7,152,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 18:00:00,21.3,119.8,114,85.0,, , , , ,,4
1977200N10138,THELMA,1977-07-24 21:00:00,21.7,120.1,65,83.0,, , , , ,,4
1977200N10138,THELMA,1977-07-25 00:00:00,22.3,120.2,24,80.0,, , , , ,,4
1977200N10138,THELMA,1977-07-25 03:00:00,23.0,120.3,0,78.0,, , , , ,,4
1977200N10138,THELMA,1977-07-25 06:00:00,23.8,120.2,10,75.0,, , , , ,,4
1977200N10138,THELMA,1977-07-25 09:00:00,24.4,120.0,52,70.0,, , , , ,,4
1977200N10138,THELMA,1977-07-25 12:00:00,24.9,119.8,49,65.0,, , , , ,,1
1977200N10138,THELMA,1977-07-25 15:00:00,25.4,119.7,0,63.0,, , , , ,,1
1977200N10138,THELMA,1977-07-25 18:00:00,25.9,119.4,0,60.0,, , , , ,,0
1977200N10138,THELMA,1977-07-25 21:00:00,26.6,119.1,0,55.0,, , , , ,,0
1977200N10138,THELMA,1977-07-26 00:00:00,27.4,118.6,0,50.0,, , , , ,,0
