SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1978253N21124,IRMA,1978-09-10 00:00:00,21.3,122.6,188,20.0,, , , , ,,0
1978253N21124,IRMA,1978-09-10 03:00:00,21.2,122.3,164,20.0,, , , , ,,0
1978253N21124,IRMA,1978-09-10 06:00:00,21.1,121.9,136,20.0,, , , , ,,1
1978253N21124,IRMA,1978-09-10 09:00:00,21.2,121.7,113,20.0,, , , , ,,1
1978253N21124,IRMA,1978-09-10 12:00:00,21.3,121.6,98,20.0,, , , , ,,1
1978253N21124,IRMA,1978-09-10 15:00:00,21.3,121.5,91,20.0,, , , , ,,1
1978253N21124,IRMA,1978-09-10 18:00:00,21.4,121.5,83,20.0,, , , , ,,1
1978253N21124,IRMA,1978-09-10 21:00:00,21.6,121.6,79,23.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 00:00:00,21.9,121.6,72,25.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 03:00:00,22.2,121.7,82,25.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 06:00:00,22.6,121.9,75,25.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 09:00:00,22.9,122.1,75,28.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 12:00:00,23.3,122.2,81,30.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 15:00:00,23.7,122.4,91,30.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 18:00:00,24.1,122.5,75,30.0,, , , , ,,1
1978253N21124,IRMA,1978-09-11 21:00:00,24.5,122.6,70,33.0,, , , , ,,1
1978253N21124,IRMA,1978-09-12 00:00:00,24.9,122.7,71,35.0,, , , , ,,2
1978253N21124,IRMA,1978-09-12 03:00:00,25.2,122.8,83,38.0,, , , , ,,2
1978253N21124,IRMA,1978-09-12 06:00:00,25.4,123.0,110,40.0,, , , , ,,2
1978253N21124,IRMA,1978-09-12 09:00:00,25.7,123.3,152,45.0,, , , , ,,2
1978253N21124,IRMA,1978-09-12 12:00:00,25.9,123.6,189,50.0,, , , , ,,3
1978253N21124,IRMA,1978-09-13 12:00:00,28.5,123.9,200,55.0,, , , , ,,3
1978253N21124,IRMA,1978-09-14 12:00:00,31.5,126.1,190,65.0,, , , , ,,3
1978253N21124,IRMA,1978-09-14 15:00:00,31.9,126.6,144,63.0,, , , , ,,3
1978253N21124,IRMA,1978-09-14 18:00:00,32.3,127.2,114,60.0,, , , , ,,3
1978253N21124,IRMA,1978-09-14 21:00:00,32.8,128.0,124,55.0,, , , , ,,3
1978253N21124,IRMA,1978-09-15 00:00:00,33.2,128.9,65,50.0,, , , , ,,3
1978253N21124,IRMA,1978-09-15 03:00:00,33.6,129.8,14,45.0,, , , , ,,3
1978253N21124,IRMA,1978-09-15 06:00:00,34.0,130.7,18,40.0,, , , , ,,3
1978253N21124,IRMA,1978-09-15 09:00:00,34.3,131.9,0,35.0,, , , , ,,3
1978253N21124,IRMA,1978-09-15 12:00:00,34.6,133.0,0,30.0,, , , , ,,2
1978253N21124,IRMA,1978-09-15 15:00:00,34.9,134.1,0,25.0,, , , , ,,2
1978253N21124,IRMA,1978-09-15 18:00:00,35.1,135.1,0,20.0,, , , , ,,1
