SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1980187N09146,IDA,1980-07-09 03:00:00,19.5,123.8,200,58.0,, , , , ,,3
1980187N09146,IDA,1980-07-09 06:00:00,19.8,123.2,182,55.0,, , , , ,,3
1980187N09146,IDA,1980-07-09 09:00:00,20.0,122.7,183,53.0,, , , , ,,3
1980187N09146,IDA,1980-07-09 15:00:00,20.4,121.8,191,50.0,, , , , ,,3
1980187N09146,IDA,1980-07-09 18:00:00,20.6,121.5,158,50.0,, , , , ,,3
1980187N09146,IDA,1980-07-09 21:00:00,20.8,121.0,123,50.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 00:00:00,21.0,120.6,101,50.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 03:00:00,21.2,120.2,93,48.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 06:00:00,21.3,119.7,123,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 09:00:00,21.5,119.3,151,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 12:00:00,21.7,119.0,161,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 15:00:00,21.9,118.6,187,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 18:00:00,22.1,118.3,192,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-10 21:00:00,22.2,118.0,172,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 00:00:00,22.3,117.7,140,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 03:00:00,22.5,117.5,111,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 06:00:00,22.6,117.2,79,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 09:00:00,22.9,116.9,40,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 12:00:00,23.2,116.7,10,45.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 15:00:00,23.5,116.4,0,38.0,, , , , ,,3
1980187N09146,IDA,1980-07-11 18:00:00,23.8,116.1,0,30.0,, , , , ,,2
