SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1980236N15144,NORRIS,1980-08-27 09:00:00,24.0,123.3,152,88.0,, , , , ,,5
1980236N15144,NORRIS,1980-08-27 12:00:00,24.3,122.8,93,90.0,, , , , ,,4
1980236N15144,NORRIS,1980-08-27 15:00:00,24.5,122.1,20,75.0,, , , , ,,4
1980236N15144,NORRIS,1980-08-27 18:00:00,24.6,121.5,0,60.0,, , , , ,,4
1980236N15144,NORRIS,1980-08-27 21:00:00,24.8,121.0,0,58.0,, , , , ,,4
1980236N15144,NORRIS,1980-08-28 00:00:00,25.1,120.7,32,55.0,, , , , ,,3
1980236N15144,NORRIS,1980-08-28 03:00:00,25.4,120.2,50,50.0,, , , , ,,3
1980236N15144,NORRIS,1980-08-28 06:00:00,25.7,119.6,0,45.0,, , , , ,,3
1980236N15144,NORRIS,1980-08-28 09:00:00,25.9,119.1,0,40.0,, , , , ,,3
1980236N15144,NORRIS,1980-08-28 12:00:00,26.1,118.5,0,35.0,, , , , ,,2
1980236N15144,NORRIS,1980-08-28 15:00:00,26.3,117.9,0,28.0,, , , , ,,2
1980236N15144,NORRIS,1980-08-28 18:00:00,26.6,117.3,0,20.0,, , , , ,,1
1980236N15144,NORRIS,1980-08-28 21:00:00,26.9,117.0,0,18.0,, , , , ,,1
1980236N15144,NORRIS,1980-08-29 00:00:00,27.3,116.8,0,15.0,, , , , ,,1
