SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1981166N11135,JUNE,1981-06-19 18:00:00,21.8,122.8,196,75.0,, , , , ,,4
1981166N11135,JUNE,1981-06-19 21:00:00,22.3,122.7,160,75.0,, , , , ,,4
1981166N11135,JUNE,1981-06-20 00:00:00,22.9,122.6,124,75.0,, , , , ,,4
1981166N11135,JUNE,1981-06-20 03:00:00,23.4,122.4,97,75.0,, , , , ,,4
1981166N11135,JUNE,1981-06-20 06:00:00,23.9,122.2,64,75.0,, , , , ,,4
1981166N11135,JUNE,1981-06-20 09:00:00,24.4,121.9,10,73.0,, , , , ,,4
1981166N11135,JUNE,1981-06-20 12:00:00,24.7,121.7,0,70.0,, , , , ,,3
1981166N11135,JUNE,1981-06-20 15:00:00,25.1,121.6,0,68.0,, , , , ,,3
1981166N11135,JUNE,1981-06-20 18:00:00,25.4,121.6,22,65.0,, , , , ,,3
1981166N11135,JUNE,1981-06-20 21:00:00,25.8,121.7,67,65.0,, , , , ,,3
1981166N11135,JUNE,1981-06-21 00:00:00,26.3,121.9,126,65.0,, , , , ,,3
1981166N11135,JUNE,1981-06-21 03:00:00,26.9,122.2,160,63.0,, , , , ,,3
1981166N11135,JUNE,1981-06-21 06:00:00,27.6,122.6,125,60.0,, , , , ,,3
1981166N11135,JUNE,1981-06-21 09:00:00,28.1,123.0,138,55.0,, , , , ,,3
1981166N11135,JUNE,1981-06-21 12:00:00,28.6,123.4,151,50.0,, , , , ,,2
1981166N11135,JUNE,1981-06-21 15:00:00,29.2,123.8,174,45.0,, , , , ,,2
1981166N11135,JUNE,1981-06-22 03:00:00,31.4,126.2,200,35.0,, , , , ,,2
1981166N11135,JUNE,1981-06-22 06:00:00,32.1,127.2,134,35.0,, , , , ,,2
1981166N11135,JUNE,1981-06-22 09:00:00,32.6,128.3,125,33.0,, , , , ,,2
1981166N11135,JUNE,1981-06-22 12:00:00,33.4,129.8,9,30.0,, , , , ,, 
