SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1982202N12148,ANDY,1982-07-28 12:00:00,21.9,122.6,175,115.0,, , , , ,,6
1982202N12148,ANDY,1982-07-28 15:00:00,22.1,122.2,133,110.0,, , , , ,,6
1982202N12148,ANDY,1982-07-28 18:00:00,22.4,121.7,75,105.0,, , , , ,,5
1982202N12148,ANDY,1982-07-28 21:00:00,22.7,121.2,15,100.0,, , , , ,,5
1982202N12148,ANDY,1982-07-29 00:00:00,23.1,120.7,0,95.0,, , , , ,,4
1982202N12148,ANDY,1982-07-29 03:00:00,23.5,120.2,0,90.0,, , , , ,,4
1982202N12148,ANDY,1982-07-29 06:00:00,23.9,119.8,45,85.0,, , , , ,,4
1982202N12148,ANDY,1982-07-29 09:00:00,24.3,119.5,87,78.0,, , , , ,,4
1982202N12148,ANDY,1982-07-29 12:00:00,24.6,119.3,52,70.0,, , , , ,,2
1982202N12148,ANDY,1982-07-29 15:00:00,24.9,118.9,0,63.0,, , , , ,,2
1982202N12148,ANDY,1982-07-29 18:00:00,25.4,118.5,0,55.0,, , , , ,, 
1982202N12148,ANDY,1982-07-29 21:00:00,25.8,118.2,0,45.0,, , , , ,, 
1982202N12148,ANDY,1982-07-30 00:00:00,26.2,118.0,0,35.0,, , , , ,, 
