SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1985199N08143,JEFF,1985-07-29 12:00:00,25.9,123.7,197,70.0,, , , , ,,4
1985199N08143,JEFF,1985-07-29 15:00:00,26.1,123.4,186,70.0,, , , , ,,4
1985199N08143,JEFF,1985-07-29 18:00:00,26.4,123.0,185,70.0,, , , , ,,4
1985199N08143,JEFF,1985-07-29 21:00:00,26.6,122.7,191,70.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 00:00:00,26.9,122.4,172,70.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 03:00:00,27.2,122.1,127,73.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 06:00:00,27.4,121.9,97,75.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 09:00:00,27.7,121.7,59,75.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 12:00:00,27.9,121.5,29,75.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 15:00:00,28.2,121.2,9,68.0,, , , , ,,4
1985199N08143,JEFF,1985-07-30 18:00:00,28.5,121.0,0,60.0,, , , , ,,3
1985199N08143,JEFF,1985-07-30 21:00:00,28.9,120.8,0,53.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 00:00:00,29.3,120.7,0,45.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 03:00:00,29.7,120.6,0,43.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 06:00:00,30.0,120.5,0,40.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 09:00:00,30.4,120.4,0,38.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 12:00:00,30.7,120.4,0,35.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 15:00:00,31.1,120.4,0,33.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 18:00:00,31.4,120.4,0,30.0,, , , , ,,3
1985199N08143,JEFF,1985-07-31 21:00:00,31.8,120.6,0,30.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 00:00:00,32.2,120.8,0,30.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 03:00:00,32.6,120.9,0,33.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 06:00:00,33.2,121.2,43,35.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 09:00:00,33.7,121.4,77,40.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 12:00:00,34.3,121.8,137,45.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 15:00:00,35.0,122.2,182,48.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 18:00:00,35.8,122.5,112,50.0,, , , , ,,3
1985199N08143,JEFF,1985-08-01 21:00:00,36.6,122.7,37,48.0,, , , , ,,3
1985199N08143,JEFF,1985-08-02 00:00:00,37.5,122.9,34,45.0,, , , , ,,2
