SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1985227N16149,NELSON,1985-08-22 12:00:00,24.8,123.8,182,85.0,, , , , ,,4
1985227N16149,NELSON,1985-08-22 15:00:00,25.0,123.3,130,83.0,, , , , ,,4
1985227N16149,NELSON,1985-08-22 18:00:00,25.3,122.8,87,80.0,, , , , ,,5
1985227N16149,NELSON,1985-08-22 21:00:00,25.4,122.3,53,80.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 00:00:00,25.5,121.7,34,80.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 03:00:00,25.6,121.2,48,75.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 06:00:00,25.7,120.7,83,70.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 09:00:00,25.7,120.3,64,70.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 12:00:00,25.7,119.8,20,70.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 15:00:00,25.6,119.2,0,60.0,, , , , ,,5
1985227N16149,NELSON,1985-08-23 18:00:00,25.5,118.7,0,50.0,, , , , ,,3
1985227N16149,NELSON,1985-08-23 21:00:00,25.5,118.1,0,43.0,, , , , ,,3
1985227N16149,NELSON,1985-08-24 00:00:00,25.4,117.7,0,35.0,, , , , ,,2
1985227N16149,NELSON,1985-08-24 03:00:00,25.4,117.4,0,33.0,, , , , ,,2
1985227N16149,NELSON,1985-08-24 06:00:00,25.4,117.1,0,30.0,, , , , ,,0
