SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1986136N18114,MAC,1986-05-25 06:00:00,20.0,119.7,194,30.0,, , , , ,,2
1986136N18114,MAC,1986-05-25 09:00:00,20.1,119.9,192,30.0,, , , , ,,2
1986136N18114,MAC,1986-05-25 12:00:00,20.1,120.2,179,30.0,, , , , ,,2
1986136N18114,MAC,1986-05-25 15:00:00,20.2,120.5,181,30.0,, , , , ,,2
1986136N18114,MAC,1986-05-25 18:00:00,20.3,120.7,178,30.0,, , , , ,,2
1986136N18114,MAC,1986-05-25 21:00:00,20.4,120.9,167,33.0,, , , , ,,2
1986136N18114,MAC,1986-05-26 00:00:00,20.7,121.1,135,35.0,, , , , ,,2
1986136N18114,MAC,1986-05-26 03:00:00,20.9,121.4,123,40.0,, , , , ,,2
1986136N18114,MAC,1986-05-26 06:00:00,21.2,121.6,106,45.0,, , , , ,,2
1986136N18114,MAC,1986-05-26 09:00:00,21.5,121.8,103,45.0,, , , , ,,2
1986136N18114,MAC,1986-05-26 12:00:00,21.9,122.0,113,45.0,, , , , ,,3
1986136N18114,MAC,1986-05-26 15:00:00,22.3,122.3,128,45.0,, , , , ,,3
1986136N18114,MAC,1986-05-26 18:00:00,22.6,122.5,125,45.0,, , , , ,,2
1986136N18114,MAC,1986-05-26 21:00:00,22.9,122.7,134,45.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 00:00:00,23.1,122.8,143,45.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 03:00:00,23.2,122.9,153,43.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 06:00:00,23.3,122.9,149,40.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 09:00:00,23.4,122.9,146,40.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 12:00:00,23.5,122.9,144,40.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 15:00:00,23.5,123.0,154,38.0,, , , , ,,2
1986136N18114,MAC,1986-05-27 18:00:00,23.5,123.1,164,35.0,, , , , ,,1
1986136N18114,MAC,1986-05-27 21:00:00,23.5,123.3,180,33.0,, , , , ,,1
