SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1986228N19120,WAYNE,1986-08-20 06:00:00,20.4,113.6,178,70.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-20 09:00:00,20.8,113.9,154,68.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-20 12:00:00,21.2,114.3,122,65.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-20 15:00:00,21.5,114.7,98,65.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-20 18:00:00,21.7,115.1,91,65.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-20 21:00:00,22.0,115.6,78,68.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 00:00:00,22.3,116.1,54,70.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 03:00:00,22.5,116.6,45,73.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 06:00:00,22.7,117.2,75,75.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 09:00:00,22.9,117.7,89,80.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 12:00:00,23.1,118.3,97,85.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 15:00:00,23.4,118.8,113,83.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 18:00:00,23.6,119.3,81,80.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-21 21:00:00,23.8,119.8,37,75.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-22 00:00:00,24.1,120.5,0,70.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-22 03:00:00,24.4,121.2,0,60.0,, , , , ,,4
1986228N19120,WAYNE,1986-08-22 06:00:00,24.7,121.8,0,50.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-22 09:00:00,24.9,122.5,51,50.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-22 12:00:00,25.0,123.0,100,50.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-22 15:00:00,25.1,123.6,161,50.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-24 03:00:00,22.9,123.0,165,60.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-24 06:00:00,22.6,122.5,125,55.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-24 09:00:00,22.2,122.0,112,50.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-24 12:00:00,21.8,121.5,62,45.0,, , , , ,,3
1986228N19120,WAYNE,1986-08-24 15:00:00,21.6,120.9,33,40.0,, , , , ,,3
