SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1986252N06153,ABBY,1986-09-18 12:00:00,22.2,122.9,183,95.0,, , , , ,,5
1986252N06153,ABBY,1986-09-18 15:00:00,22.4,122.5,137,93.0,, , , , ,,5
1986252N06153,ABBY,1986-09-18 18:00:00,22.6,122.1,90,90.0,, , , , ,,5
1986252N06153,ABBY,1986-09-18 21:00:00,22.9,121.8,46,90.0,, , , , ,,5
1986252N06153,ABBY,1986-09-19 00:00:00,23.2,121.6,20,90.0,, , , , ,,5
1986252N06153,ABBY,1986-09-19 03:00:00,23.5,121.3,0,88.0,, , , , ,,5
1986252N06153,ABBY,1986-09-19 06:00:00,23.9,121.1,0,85.0,, , , , ,,5
1986252N06153,ABBY,1986-09-19 09:00:00,24.3,121.0,0,83.0,, , , , ,,5
1986252N06153,ABBY,1986-09-19 12:00:00,24.7,120.9,0,80.0,, , , , ,,4
1986252N06153,ABBY,1986-09-19 15:00:00,25.1,120.9,15,75.0,, , , , ,,4
1986252N06153,ABBY,1986-09-19 18:00:00,25.5,121.1,45,70.0,, , , , ,,4
1986252N06153,ABBY,1986-09-19 21:00:00,25.8,121.3,67,63.0,, , , , ,,4
1986252N06153,ABBY,1986-09-20 00:00:00,26.3,121.7,123,55.0,, , , , ,,3
1986252N06153,ABBY,1986-09-20 03:00:00,26.9,122.1,153,50.0,, , , , ,,3
1986252N06153,ABBY,1986-09-20 06:00:00,27.6,122.6,125,45.0,, , , , ,,3
1986252N06153,ABBY,1986-09-20 09:00:00,28.6,123.5,160,40.0,, , , , ,,3
