SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1987196N09146,VERNON,1987-07-20 15:00:00,21.6,122.7,188,55.0,, , , , ,,3
1987196N09146,VERNON,1987-07-20 18:00:00,22.1,122.5,158,55.0,, , , , ,,3
1987196N09146,VERNON,1987-07-20 21:00:00,22.5,122.3,114,53.0,, , , , ,,3
1987196N09146,VERNON,1987-07-21 00:00:00,23.1,122.2,81,50.0,, , , , ,,3
1987196N09146,VERNON,1987-07-21 03:00:00,23.8,122.1,60,48.0,, , , , ,,3
1987196N09146,VERNON,1987-07-21 06:00:00,24.7,121.9,10,45.0,, , , , ,,3
1987196N09146,VERNON,1987-07-21 09:00:00,25.4,121.7,24,40.0,, , , , ,,3
1987196N09146,VERNON,1987-07-21 12:00:00,26.0,121.4,89,35.0,, , , , ,,2
1987196N09146,VERNON,1987-07-21 15:00:00,26.5,121.4,118,33.0,, , , , ,,2
1987196N09146,VERNON,1987-07-21 18:00:00,27.1,121.5,90,30.0,, , , , ,,1
1987196N09146,VERNON,1987-07-21 21:00:00,27.8,121.7,51,28.0,, , , , ,,1
1987196N09146,VERNON,1987-07-22 00:00:00,28.6,122.1,40,25.0,, , , , ,,1
