SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1987202N09144,ALEX,1987-07-25 18:00:00,19.5,123.7,191,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-25 21:00:00,19.8,123.3,188,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-26 06:00:00,21.3,122.5,178,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-26 09:00:00,21.8,122.4,155,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-26 12:00:00,22.4,122.3,120,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-26 15:00:00,23.0,122.3,92,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-26 18:00:00,23.7,122.2,71,65.0,, , , , ,,4
1987202N09144,ALEX,1987-07-26 21:00:00,24.5,121.9,0,63.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 00:00:00,25.3,121.6,11,60.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 03:00:00,25.9,121.3,78,60.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 06:00:00,26.5,121.0,89,60.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 09:00:00,27.1,120.8,31,58.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 12:00:00,27.8,120.7,0,55.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 15:00:00,28.5,120.7,0,53.0,, , , , ,,4
1987202N09144,ALEX,1987-07-27 18:00:00,29.2,120.6,0,50.0,, , , , ,,3
1987202N09144,ALEX,1987-07-27 21:00:00,29.9,120.6,0,45.0,, , , , ,,3
1987202N09144,ALEX,1987-07-28 00:00:00,30.7,120.6,0,40.0,, , , , ,,3
1987202N09144,ALEX,1987-07-28 03:00:00,31.4,120.5,0,35.0,, , , , ,,3
1987202N09144,ALEX,1987-07-28 06:00:00,32.2,120.5,0,30.0,, , , , ,,2
1987202N09144,ALEX,1987-07-28 09:00:00,32.9,120.6,0,28.0,, , , , ,,2
1987202N09144,ALEX,1987-07-28 12:00:00,33.6,120.7,14,25.0,, , , , ,,2
1987202N09144,ALEX,1987-07-28 15:00:00,34.3,120.9,54,25.0,, , , , ,,2
1987202N09144,ALEX,1987-07-28 18:00:00,34.9,121.1,99,25.0,, , , , ,,2
1987202N09144,ALEX,1987-07-28 21:00:00,35.4,121.4,100,25.0,, , , , ,,2
1987202N09144,ALEX,1987-07-29 00:00:00,35.8,121.6,87,25.0,, , , , ,,2
1987202N09144,ALEX,1987-07-29 03:00:00,36.3,122.0,57,25.0,, , , , ,,2
1987202N09144,ALEX,1987-07-29 06:00:00,36.8,122.3,0,25.0,, , , , ,,1
1987202N09144,ALEX,1987-07-29 09:00:00,37.3,122.6,0,23.0,, , , , ,,1
1987202N09144,ALEX,1987-07-29 12:00:00,37.8,122.9,61,20.0,, , , , ,,1
1987202N09144,ALEX,1987-07-29 15:00:00,38.1,123.2,103,20.0,, , , , ,,1
1987202N09144,ALEX,1987-07-29 18:00:00,38.4,123.6,101,20.0,, , , , ,,1
1987202N09144,ALEX,1987-07-29 21:00:00,38.6,123.9,89,18.0,, , , , ,,1
1987202N09144,ALEX,1987-07-30 00:00:00,38.9,124.4,60,15.0,, , , , ,,1
1987202N09144,ALEX,1987-07-30 03:00:00,38.9,125.3,0,15.0,, , , , ,,1
1987202N09144,ALEX,1987-07-30 06:00:00,39.0,126.8,0,15.0,, , , , ,, 
