SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1987245N15133,GERALD,1987-09-08 21:00:00,20.8,122.2,182,105.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 00:00:00,20.9,121.9,152,105.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 03:00:00,21.1,121.5,108,103.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 06:00:00,21.3,121.2,73,100.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 09:00:00,21.5,120.8,44,95.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 12:00:00,21.8,120.5,23,90.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 15:00:00,22.1,120.2,45,85.0,, , , , ,,5
1987245N15133,GERALD,1987-09-09 18:00:00,22.5,120.0,30,80.0,, , , , ,,4
1987245N15133,GERALD,1987-09-09 21:00:00,22.8,119.7,51,75.0,, , , , ,,4
1987245N15133,GERALD,1987-09-10 00:00:00,23.2,119.5,61,70.0,, , , , ,,4
1987245N15133,GERALD,1987-09-10 03:00:00,23.7,119.3,82,63.0,, , , , ,,4
1987245N15133,GERALD,1987-09-10 06:00:00,24.1,119.0,60,55.0,, , , , ,,3
1987245N15133,GERALD,1987-09-10 09:00:00,24.5,118.8,15,43.0,, , , , ,,3
1987245N15133,GERALD,1987-09-10 12:00:00,24.9,118.6,0,30.0,, , , , ,,3
1987245N15133,GERALD,1987-09-10 15:00:00,25.3,118.3,0,30.0,, , , , ,,3
1987245N15133,GERALD,1987-09-10 18:00:00,25.7,117.9,0,30.0,, , , , ,,2
1987245N15133,GERALD,1987-09-10 21:00:00,26.2,117.4,0,28.0,, , , , ,,2
1987245N15133,GERALD,1987-09-11 00:00:00,26.7,116.8,0,25.0,, , , , ,,1
