SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1989209N22130,KEN:LOLA,1989-08-03 12:00:00,30.6,123.8,184,50.0,, , , , ,,3
1989209N22130,KEN:LOLA,1989-08-03 15:00:00,30.8,123.2,124,48.0,, , , , ,,3
1989209N22130,KEN:LOLA,1989-08-03 18:00:00,31.0,122.6,67,45.0,, , , , ,,3
1989209N22130,KEN:LOLA,1989-08-03 21:00:00,31.2,121.9,14,43.0,, , , , ,,3
1989209N22130,KEN:LOLA,1989-08-04 00:00:00,31.3,121.3,0,40.0,, , , , ,,3
1989209N22130,KEN:LOLA,1989-08-04 03:00:00,31.5,120.7,0,35.0,, , , , ,,3
1989209N22130,KEN:LOLA,1989-08-04 06:00:00,31.6,120.1,0,30.0,, , , , ,,2
1989209N22130,KEN:LOLA,1989-08-04 09:00:00,31.7,119.5,0,30.0,, , , , ,,2
1989209N22130,KEN:LOLA,1989-08-04 12:00:00,31.8,119.0,0,30.0,, , , , ,,2
1989209N22130,KEN:LOLA,1989-08-04 15:00:00,31.9,118.5,0,28.0,, , , , ,,2
1989209N22130,KEN:LOLA,1989-08-04 18:00:00,31.9,118.0,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-04 21:00:00,32.0,117.6,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 00:00:00,32.0,117.3,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 03:00:00,31.9,117.0,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 06:00:00,31.9,116.6,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 09:00:00,32.0,116.3,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 12:00:00,32.1,116.0,0,25.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 15:00:00,32.1,115.7,0,23.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 18:00:00,32.2,115.5,0,20.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-05 21:00:00,32.3,115.3,0,20.0,, , , , ,,1
1989209N22130,KEN:LOLA,1989-08-06 00:00:00,32.5,115.0,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 03:00:00,32.4,114.7,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 06:00:00,32.4,114.4,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 09:00:00,32.3,114.2,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 12:00:00,32.2,113.9,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 15:00:00,32.0,113.5,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 18:00:00,31.9,113.1,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-06 21:00:00,31.7,112.8,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-07 00:00:00,31.6,112.6,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-07 03:00:00,31.6,112.3,0,20.0,, , , , ,,0
1989209N22130,KEN:LOLA,1989-08-07 06:00:00,31.5,112.0,0,20.0,, , , , ,, 
