SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1989246N16159,SARAH,1989-09-09 06:00:00,17.9,124.1,192,65.0,, , , , ,,3
1989246N16159,SARAH,1989-09-09 09:00:00,17.7,124.0,175,63.0,, , , , ,,3
1989246N16159,SARAH,1989-09-09 12:00:00,17.7,124.0,175,60.0,, , , , ,,4
1989246N16159,SARAH,1989-09-09 15:00:00,18.0,124.0,182,58.0,, , , , ,,4
1989246N16159,SARAH,1989-09-09 18:00:00,18.5,124.0,179,55.0,, , , , ,,4
1989246N16159,SARAH,1989-09-09 21:00:00,18.9,124.0,187,55.0,, , , , ,,4
1989246N16159,SARAH,1989-09-10 00:00:00,19.2,124.0,200,55.0,, , , , ,,4
1989246N16159,SARAH,1989-09-11 03:00:00,22.2,123.0,192,118.0,, , , , ,,5
1989246N16159,SARAH,1989-09-11 06:00:00,22.7,122.7,140,120.0,, , , , ,,5
1989246N16159,SARAH,1989-09-11 09:00:00,23.1,122.4,102,123.0,, , , , ,,5
1989246N16159,SARAH,1989-09-11 12:00:00,23.3,122.0,61,125.0,, , , , ,,6
1989246N16159,SARAH,1989-09-11 15:00:00,23.2,121.5,10,108.0,, , , , ,,6
1989246N16159,SARAH,1989-09-11 18:00:00,23.2,121.3,0,90.0,, , , , ,,3
1989246N16159,SARAH,1989-09-11 21:00:00,23.3,121.3,0,85.0,, , , , ,,3
1989246N16159,SARAH,1989-09-12 00:00:00,23.5,121.5,10,80.0,, , , , ,,2
1989246N16159,SARAH,1989-09-12 03:00:00,23.7,121.7,20,73.0,, , , , ,,2
1989246N16159,SARAH,1989-09-12 06:00:00,24.1,121.7,10,65.0,, , , , ,, 
1989246N16159,SARAH,1989-09-12 09:00:00,24.5,121.7,0,63.0,, , , , ,, 
1989246N16159,SARAH,1989-09-12 12:00:00,24.9,121.6,0,60.0,, , , , ,, 
1989246N16159,SARAH,1989-09-12 15:00:00,25.1,121.4,0,53.0,, , , , ,, 
1989246N16159,SARAH,1989-09-12 18:00:00,25.3,121.1,24,45.0,, , , , ,, 
1989246N16159,SARAH,1989-09-12 21:00:00,25.6,120.8,68,43.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 00:00:00,25.9,120.5,79,40.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 03:00:00,26.2,120.3,48,38.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 06:00:00,26.5,120.2,14,35.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 09:00:00,26.7,120.0,0,33.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 12:00:00,27.0,119.8,0,30.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 15:00:00,27.2,119.7,0,28.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 18:00:00,27.3,119.7,0,25.0,, , , , ,, 
1989246N16159,SARAH,1989-09-13 21:00:00,27.3,119.6,0,23.0,, , , , ,, 
1989246N16159,SARAH,1989-09-14 00:00:00,27.1,119.5,0,20.0,, , , , ,, 
