SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1990166N06141,OFELIA,1990-06-20 15:00:00,13.1,126.9,182,63.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-20 18:00:00,13.7,126.5,194,65.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-20 21:00:00,14.3,126.1,188,65.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-21 00:00:00,14.9,125.8,187,65.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-21 03:00:00,15.5,125.3,199,65.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-21 12:00:00,17.1,124.1,170,65.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-21 15:00:00,17.4,123.7,135,65.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-21 18:00:00,17.9,123.4,124,65.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-21 21:00:00,18.3,123.0,73,68.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 00:00:00,18.8,122.6,54,70.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 03:00:00,19.4,122.2,111,73.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 06:00:00,19.8,121.8,151,75.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 09:00:00,20.1,121.6,180,78.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 12:00:00,20.3,121.5,189,80.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 15:00:00,20.6,121.5,158,85.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 18:00:00,21.0,121.5,118,90.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-22 21:00:00,21.7,121.6,75,90.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 00:00:00,22.4,121.6,65,90.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 03:00:00,23.1,121.6,20,90.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 06:00:00,23.8,121.6,10,90.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 09:00:00,24.4,121.4,0,83.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 12:00:00,24.9,121.1,0,75.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 15:00:00,25.6,120.8,68,65.0,, , , , ,,4
1990166N06141,OFELIA,1990-06-23 18:00:00,26.3,120.7,68,55.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-23 21:00:00,27.1,120.5,9,53.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-24 00:00:00,28.1,120.5,0,50.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-24 03:00:00,29.0,120.4,0,45.0,, , , , ,,3
1990166N06141,OFELIA,1990-06-24 06:00:00,29.9,120.2,0,40.0,, , , , ,,2
1990166N06141,OFELIA,1990-06-24 09:00:00,30.6,120.1,0,40.0,, , , , ,,2
1990166N06141,OFELIA,1990-06-24 12:00:00,31.4,120.1,0,40.0,, , , , ,,2
1990166N06141,OFELIA,1990-06-24 15:00:00,32.3,120.1,0,38.0,, , , , ,,2
1990166N06141,OFELIA,1990-06-24 18:00:00,33.1,120.2,0,35.0,, , , , ,,2
1990166N06141,OFELIA,1990-06-24 21:00:00,33.7,120.6,9,33.0,, , , , ,,2
1990166N06141,OFELIA,1990-06-25 00:00:00,34.2,121.2,82,30.0,, , , , ,,1
1990166N06141,OFELIA,1990-06-25 03:00:00,34.6,121.7,132,30.0,, , , , ,,1
1990166N06141,OFELIA,1990-06-25 06:00:00,35.1,122.4,189,30.0,, , , , ,,1
1990166N06141,OFELIA,1990-06-25 09:00:00,35.5,122.9,154,28.0,, , , , ,,1
1990166N06141,OFELIA,1990-06-25 12:00:00,36.0,123.6,140,25.0,, , , , ,,9
