SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1990171N11148,PERCY,1990-06-26 09:00:00,15.6,125.1,198,103.0,, , , , ,,5
1990171N11148,PERCY,1990-06-26 18:00:00,16.4,123.8,149,100.0,, , , , ,,5
1990171N11148,PERCY,1990-06-26 21:00:00,16.8,123.3,85,98.0,, , , , ,,5
1990171N11148,PERCY,1990-06-27 00:00:00,17.2,122.8,38,95.0,, , , , ,,5
1990171N11148,PERCY,1990-06-27 03:00:00,17.5,122.3,15,90.0,, , , , ,,5
1990171N11148,PERCY,1990-06-27 06:00:00,17.9,121.8,0,85.0,, , , , ,,4
1990171N11148,PERCY,1990-06-27 09:00:00,18.5,121.4,0,80.0,, , , , ,,4
1990171N11148,PERCY,1990-06-27 12:00:00,19.1,120.9,55,75.0,, , , , ,,4
1990171N11148,PERCY,1990-06-27 15:00:00,19.5,120.3,113,75.0,, , , , ,,4
1990171N11148,PERCY,1990-06-27 18:00:00,19.8,119.7,177,75.0,, , , , ,,4
1990171N11148,PERCY,1990-06-28 15:00:00,22.1,117.9,169,80.0,, , , , ,,4
1990171N11148,PERCY,1990-06-28 18:00:00,22.4,117.8,142,80.0,, , , , ,,4
1990171N11148,PERCY,1990-06-28 21:00:00,22.7,117.6,103,78.0,, , , , ,,4
1990171N11148,PERCY,1990-06-29 00:00:00,23.0,117.5,69,75.0,, , , , ,,4
1990171N11148,PERCY,1990-06-29 03:00:00,23.3,117.4,37,73.0,, , , , ,,4
1990171N11148,PERCY,1990-06-29 06:00:00,23.6,117.3,10,70.0,, , , , ,,4
1990171N11148,PERCY,1990-06-29 09:00:00,23.9,117.4,0,65.0,, , , , ,,4
1990171N11148,PERCY,1990-06-29 12:00:00,24.2,117.4,0,60.0,, , , , ,,3
1990171N11148,PERCY,1990-06-29 15:00:00,24.6,117.6,0,53.0,, , , , ,,3
1990171N11148,PERCY,1990-06-29 18:00:00,24.9,117.7,0,45.0,, , , , ,,3
1990171N11148,PERCY,1990-06-29 21:00:00,25.3,117.9,0,40.0,, , , , ,,3
1990171N11148,PERCY,1990-06-30 00:00:00,25.8,118.1,0,35.0,, , , , ,,2
1990171N11148,PERCY,1990-06-30 03:00:00,26.3,118.1,0,30.0,, , , , ,,2
1990171N11148,PERCY,1990-06-30 06:00:00,26.9,118.2,0,25.0,, , , , ,,0
1990171N11148,PERCY,1990-06-30 09:00:00,27.4,118.4,0,23.0,, , , , ,,0
1990171N11148,PERCY,1990-06-30 12:00:00,28.0,119.0,0,20.0,, , , , ,, 
1990171N11148,PERCY,1990-06-30 15:00:00,28.7,119.6,0,20.0,, , , , ,, 
1990171N11148,PERCY,1990-06-30 18:00:00,29.3,120.3,0,20.0,, , , , ,, 
1990171N11148,PERCY,1990-06-30 21:00:00,29.8,121.0,0,18.0,, , , , ,, 
1990171N11148,PERCY,1990-07-01 00:00:00,30.1,121.8,22,15.0,, , , , ,, 
