SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1990221N07162,YANCY,1990-08-18 18:00:00,23.9,123.7,194,90.0,, , , , ,,4
1990221N07162,YANCY,1990-08-18 21:00:00,24.3,123.3,143,90.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 00:00:00,24.6,122.7,81,90.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 03:00:00,24.8,121.9,10,88.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 06:00:00,24.8,121.2,0,85.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 09:00:00,24.9,121.0,0,83.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 12:00:00,24.9,121.0,0,80.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 15:00:00,25.1,120.8,23,75.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 18:00:00,25.3,120.5,60,70.0,, , , , ,,4
1990221N07162,YANCY,1990-08-19 21:00:00,25.5,120.1,41,65.0,, , , , ,,4
1990221N07162,YANCY,1990-08-20 00:00:00,25.5,119.7,10,60.0,, , , , ,,3
1990221N07162,YANCY,1990-08-20 03:00:00,25.5,119.3,10,58.0,, , , , ,,3
1990221N07162,YANCY,1990-08-20 06:00:00,25.3,118.9,0,55.0,, , , , ,,2
1990221N07162,YANCY,1990-08-20 09:00:00,25.2,118.7,0,53.0,, , , , ,,2
1990221N07162,YANCY,1990-08-20 12:00:00,25.1,118.7,0,50.0,, , , , ,,2
1990221N07162,YANCY,1990-08-20 15:00:00,25.0,118.7,0,48.0,, , , , ,,2
1990221N07162,YANCY,1990-08-20 18:00:00,25.0,118.8,0,45.0,, , , , ,,2
1990221N07162,YANCY,1990-08-20 21:00:00,25.2,118.7,0,40.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 00:00:00,25.3,118.7,0,35.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 03:00:00,25.3,118.6,0,33.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 06:00:00,25.2,118.5,0,30.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 09:00:00,25.2,118.3,0,28.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 12:00:00,25.0,118.2,0,25.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 15:00:00,24.7,118.0,0,23.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 18:00:00,24.5,117.8,0,20.0,, , , , ,,2
1990221N07162,YANCY,1990-08-21 21:00:00,24.5,118.0,0,20.0,, , , , ,,2
1990221N07162,YANCY,1990-08-22 00:00:00,24.6,118.2,0,20.0,, , , , ,,2
1990221N07162,YANCY,1990-08-22 03:00:00,24.7,118.1,0,18.0,, , , , ,,2
1990221N07162,YANCY,1990-08-22 06:00:00,24.9,118.1,0,15.0,, , , , ,,2
1990221N07162,YANCY,1990-08-22 09:00:00,25.0,118.0,0,15.0,, , , , ,,2
1990221N07162,YANCY,1990-08-22 12:00:00,25.0,117.8,0,15.0,, , , , ,,1
