SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1990235N10152,ABE,1990-08-30 09:00:00,26.2,123.3,186,90.0,, , , , ,,5
1990235N10152,ABE,1990-08-30 12:00:00,26.6,122.9,200,90.0,, , , , ,,5
1990235N10152,ABE,1990-08-30 15:00:00,26.9,122.6,184,90.0,, , , , ,,5
1990235N10152,ABE,1990-08-30 18:00:00,27.4,122.3,121,90.0,, , , , ,,5
1990235N10152,ABE,1990-08-30 21:00:00,27.9,122.0,59,88.0,, , , , ,,5
1990235N10152,ABE,1990-08-31 00:00:00,28.4,121.8,19,85.0,, , , , ,,4
1990235N10152,ABE,1990-08-31 03:00:00,28.8,121.4,0,83.0,, , , , ,,4
1990235N10152,ABE,1990-08-31 06:00:00,29.3,121.0,0,80.0,, , , , ,,3
1990235N10152,ABE,1990-08-31 09:00:00,29.6,120.8,0,78.0,, , , , ,,3
1990235N10152,ABE,1990-08-31 12:00:00,29.9,120.6,0,75.0,, , , , ,,3
1990235N10152,ABE,1990-08-31 15:00:00,30.2,120.5,0,70.0,, , , , ,,3
1990235N10152,ABE,1990-08-31 18:00:00,30.6,120.4,0,65.0,, , , , ,,3
1990235N10152,ABE,1990-08-31 21:00:00,31.0,120.4,0,58.0,, , , , ,,3
1990235N10152,ABE,1990-09-01 00:00:00,31.6,120.5,0,50.0,, , , , ,,3
1990235N10152,ABE,1990-09-01 03:00:00,32.1,120.6,0,48.0,, , , , ,,3
1990235N10152,ABE,1990-09-01 06:00:00,32.8,120.8,0,45.0,, , , , ,,2
1990235N10152,ABE,1990-09-01 09:00:00,33.6,121.2,56,43.0,, , , , ,,2
1990235N10152,ABE,1990-09-01 12:00:00,34.5,121.8,139,40.0,, , , , ,,2
1990235N10152,ABE,1990-09-01 15:00:00,35.3,122.6,169,38.0,, , , , ,,2
1990235N10152,ABE,1990-09-01 18:00:00,36.0,123.5,134,35.0,, , , , ,,2
1990235N10152,ABE,1990-09-01 21:00:00,36.6,124.2,154,35.0,, , , , ,,2
1990235N10152,ABE,1990-09-02 00:00:00,37.1,125.1,69,35.0,, , , , ,,2
1990235N10152,ABE,1990-09-02 03:00:00,37.6,126.1,11,30.0,, , , , ,,2
1990235N10152,ABE,1990-09-02 06:00:00,38.1,127.2,0,25.0,, , , , ,,1
