SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1990245N20123,CECIL,1990-09-02 06:00:00,20.1,122.9,200,15.0,, , , , ,, 
1990245N20123,CECIL,1990-09-02 21:00:00,22.4,122.9,172,23.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 00:00:00,22.9,122.9,155,25.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 03:00:00,23.4,122.8,136,25.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 06:00:00,23.8,122.7,112,25.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 09:00:00,24.4,122.7,81,25.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 12:00:00,24.9,122.5,51,25.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 15:00:00,25.3,122.1,34,28.0,, , , , ,,1
1990245N20123,CECIL,1990-09-03 18:00:00,25.6,121.6,44,30.0,, , , , ,,2
1990245N20123,CECIL,1990-09-03 21:00:00,25.9,121.3,78,33.0,, , , , ,,2
1990245N20123,CECIL,1990-09-04 00:00:00,26.1,121.0,105,35.0,, , , , ,,3
1990245N20123,CECIL,1990-09-04 03:00:00,26.4,120.8,73,38.0,, , , , ,,3
1990245N20123,CECIL,1990-09-04 06:00:00,26.7,120.6,44,40.0,, , , , ,,3
1990245N20123,CECIL,1990-09-04 09:00:00,26.9,120.4,14,43.0,, , , , ,,3
1990245N20123,CECIL,1990-09-04 12:00:00,27.1,120.2,0,45.0,, , , , ,,2
1990245N20123,CECIL,1990-09-04 15:00:00,27.2,120.2,0,40.0,, , , , ,,2
1990245N20123,CECIL,1990-09-04 18:00:00,27.3,120.3,0,35.0,, , , , ,,2
1990245N20123,CECIL,1990-09-04 21:00:00,27.6,120.5,0,28.0,, , , , ,,2
1990245N20123,CECIL,1990-09-05 00:00:00,28.1,120.7,0,20.0,, , , , ,,1
