SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1991220N20160,ELLIE,1991-08-17 03:00:00,25.0,123.9,191,55.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-17 06:00:00,25.0,123.5,151,55.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-17 09:00:00,25.0,123.1,110,53.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-17 12:00:00,25.0,122.7,70,50.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-17 15:00:00,25.1,122.3,32,50.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-17 18:00:00,25.2,121.9,22,50.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-17 21:00:00,25.3,121.4,11,45.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-18 00:00:00,25.3,121.0,30,40.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-18 03:00:00,25.2,120.5,55,38.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-18 06:00:00,25.1,120.1,52,35.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-18 09:00:00,25.0,119.8,39,33.0,, , , , ,,3
1991220N20160,ELLIE,1991-08-18 12:00:00,24.8,119.6,52,30.0,, , , , ,,2
1991220N20160,ELLIE,1991-08-18 15:00:00,24.5,119.3,60,30.0,, , , , ,,2
1991220N20160,ELLIE,1991-08-18 18:00:00,24.3,119.1,52,30.0,, , , , ,,1
1991220N20160,ELLIE,1991-08-18 21:00:00,24.0,119.0,69,28.0,, , , , ,,1
1991220N20160,ELLIE,1991-08-19 00:00:00,23.8,118.8,80,25.0,, , , , ,,1
1991220N20160,ELLIE,1991-08-19 03:00:00,23.6,118.7,92,25.0,, , , , ,,1
1991220N20160,ELLIE,1991-08-19 06:00:00,23.5,118.5,82,25.0,, , , , ,,1
