SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1991257N16130,NAT,1991-09-15 12:00:00,20.0,123.0,193,25.0,, , , , ,,1
1991257N16130,NAT,1991-09-16 00:00:00,20.3,121.5,189,25.0,, , , , ,,2
1991257N16130,NAT,1991-09-16 03:00:00,20.3,121.2,181,28.0,, , , , ,,2
1991257N16130,NAT,1991-09-16 06:00:00,20.3,120.8,178,30.0,, , , , ,,2
1991257N16130,NAT,1991-09-16 09:00:00,20.4,120.4,170,33.0,, , , , ,,2
1991257N16130,NAT,1991-09-16 12:00:00,20.5,120.0,172,35.0,, , , , ,,2
1991257N16130,NAT,1991-09-16 15:00:00,20.5,119.7,187,38.0,, , , , ,,2
1991257N16130,NAT,1991-09-16 18:00:00,20.5,119.5,199,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 03:00:00,19.6,119.2,199,38.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 06:00:00,19.6,119.5,176,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 09:00:00,19.6,119.7,160,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 12:00:00,19.7,119.8,161,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 15:00:00,19.7,120.0,149,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 18:00:00,19.8,120.1,153,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-18 21:00:00,19.9,120.3,154,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-19 00:00:00,20.1,120.6,169,40.0,, , , , ,,2
1991257N16130,NAT,1991-09-19 03:00:00,20.3,120.9,178,38.0,, , , , ,,2
1991257N16130,NAT,1991-09-19 06:00:00,20.5,121.3,161,35.0,, , , , ,,2
1991257N16130,NAT,1991-09-19 09:00:00,20.6,121.6,162,35.0,, , , , ,,2
1991257N16130,NAT,1991-09-19 12:00:00,20.6,121.9,178,35.0,, , , , ,,2
1991257N16130,NAT,1991-09-19 15:00:00,20.8,122.3,190,35.0,, , , , ,,2
1991257N16130,NAT,1991-09-22 12:00:00,21.9,122.5,165,110.0,, , , , ,,5
1991257N16130,NAT,1991-09-22 15:00:00,22.0,122.0,113,108.0,, , , , ,,5
1991257N16130,NAT,1991-09-22 18:00:00,22.1,121.5,61,105.0,, , , , ,,5
1991257N16130,NAT,1991-09-22 21:00:00,22.1,121.1,20,105.0,, , , , ,,5
1991257N16130,NAT,1991-09-23 00:00:00,22.2,120.7,0,105.0,, , , , ,,5
1991257N16130,NAT,1991-09-23 03:00:00,22.3,120.4,15,98.0,, , , , ,,5
1991257N16130,NAT,1991-09-23 06:00:00,22.4,120.1,23,90.0,, , , , ,,4
1991257N16130,NAT,1991-09-23 09:00:00,22.5,119.8,51,80.0,, , , , ,,4
1991257N16130,NAT,1991-09-23 12:00:00,22.6,119.6,65,70.0,, , , , ,,3
1991257N16130,NAT,1991-09-23 15:00:00,22.6,119.3,94,65.0,, , , , ,,3
1991257N16130,NAT,1991-09-23 18:00:00,22.6,119.1,114,60.0,, , , , ,,3
1991257N16130,NAT,1991-09-23 21:00:00,22.6,118.8,144,58.0,, , , , ,,3
1991257N16130,NAT,1991-09-24 00:00:00,22.5,118.5,162,55.0,, , , , ,,2
1991257N16130,NAT,1991-09-24 03:00:00,22.5,118.3,152,53.0,, , , , ,,2
1991257N16130,NAT,1991-09-24 06:00:00,22.4,118.1,154,50.0,, , , , ,,2
1991257N16130,NAT,1991-09-24 09:00:00,22.3,118.0,161,48.0,, , , , ,,2
1991257N16130,NAT,1991-09-24 12:00:00,22.0,117.9,175,45.0,, , , , ,,1
1991257N16130,NAT,1991-09-24 15:00:00,21.5,117.7,199,45.0,, , , , ,,1
1991257N16130,NAT,1991-09-30 18:00:00,21.5,117.7,199,60.0,, , , , ,,3
1991257N16130,NAT,1991-09-30 21:00:00,21.9,117.6,158,60.0,, , , , ,,3
1991257N16130,NAT,1991-10-01 00:00:00,22.2,117.6,137,60.0,, , , , ,,3
1991257N16130,NAT,1991-10-01 03:00:00,22.5,117.6,121,63.0,, , , , ,,3
1991257N16130,NAT,1991-10-01 06:00:00,22.8,117.6,93,65.0,, , , , ,,4
1991257N16130,NAT,1991-10-01 09:00:00,23.1,117.5,60,65.0,, , , , ,,4
1991257N16130,NAT,1991-10-01 12:00:00,23.5,117.3,15,65.0,, , , , ,,4
1991257N16130,NAT,1991-10-01 15:00:00,23.8,117.1,0,58.0,, , , , ,,4
1991257N16130,NAT,1991-10-01 18:00:00,24.1,116.8,0,50.0,, , , , ,,2
1991257N16130,NAT,1991-10-01 21:00:00,24.4,116.5,0,43.0,, , , , ,,2
1991257N16130,NAT,1991-10-02 00:00:00,25.0,116.0,0,35.0,, , , , ,,1
1991257N16130,NAT,1991-10-02 03:00:00,25.5,115.7,0,30.0,, , , , ,,1
1991257N16130,NAT,1991-10-02 06:00:00,25.9,115.7,0,25.0,, , , , ,,1
