SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1992227N17112,MARK,1992-08-17 00:00:00,21.5,117.6,193,45.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 03:00:00,21.6,117.6,184,48.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 06:00:00,21.8,117.7,174,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 09:00:00,22.0,117.7,159,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 12:00:00,22.1,117.8,160,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 15:00:00,22.3,117.9,157,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 18:00:00,22.5,117.9,137,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-17 21:00:00,22.6,117.9,126,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 00:00:00,22.7,117.9,115,50.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 03:00:00,22.9,117.9,94,48.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 06:00:00,23.1,117.9,73,45.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 09:00:00,23.2,117.8,59,45.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 12:00:00,23.3,117.7,45,45.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 15:00:00,23.4,117.6,33,43.0,, , , , ,,3
1992227N17112,MARK,1992-08-18 18:00:00,23.5,117.5,24,40.0,, , , , ,,2
1992227N17112,MARK,1992-08-18 21:00:00,23.6,117.4,20,38.0,, , , , ,,2
1992227N17112,MARK,1992-08-19 00:00:00,23.6,117.1,0,35.0,, , , , ,,2
1992227N17112,MARK,1992-08-19 03:00:00,23.6,116.8,0,35.0,, , , , ,,2
1992227N17112,MARK,1992-08-19 06:00:00,23.6,116.4,0,35.0,, , , , ,,1
1992227N17112,MARK,1992-08-19 09:00:00,23.5,116.3,0,33.0,, , , , ,,1
1992227N17112,MARK,1992-08-19 12:00:00,23.3,116.2,0,30.0,, , , , ,, 
1992227N17112,MARK,1992-08-19 15:00:00,23.1,116.2,0,30.0,, , , , ,, 
1992227N17112,MARK,1992-08-19 18:00:00,23.0,116.1,0,30.0,, , , , ,, 
1992227N17112,MARK,1992-08-19 21:00:00,22.9,116.1,0,28.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 00:00:00,22.8,115.9,0,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 03:00:00,22.7,115.9,10,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 06:00:00,22.6,115.8,11,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 09:00:00,22.4,115.7,35,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 12:00:00,22.3,115.6,44,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 15:00:00,22.2,115.5,55,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 18:00:00,22.1,115.3,60,25.0,, , , , ,, 
1992227N17112,MARK,1992-08-20 21:00:00,22.0,115.1,59,23.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 00:00:00,21.9,114.9,67,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 03:00:00,21.7,114.6,73,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 06:00:00,21.6,114.3,78,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 09:00:00,21.5,113.9,88,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 12:00:00,21.5,113.5,68,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 15:00:00,21.6,113.1,35,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 18:00:00,21.8,112.7,10,20.0,, , , , ,, 
1992227N17112,MARK,1992-08-21 21:00:00,22.1,112.4,0,18.0,, , , , ,, 
1992227N17112,MARK,1992-08-22 00:00:00,22.4,112.2,0,15.0,, , , , ,, 
