SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1992237N14144,POLLY,1992-08-29 00:00:00,22.7,123.3,199,45.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 03:00:00,22.8,123.1,177,48.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 06:00:00,22.9,122.9,155,50.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 09:00:00,23.0,122.8,143,50.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 12:00:00,23.1,122.6,122,50.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 15:00:00,23.1,122.4,102,48.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 18:00:00,23.3,122.2,81,45.0,, , , , ,,4
1992237N14144,POLLY,1992-08-29 21:00:00,23.4,122.1,69,45.0,, , , , ,,4
1992237N14144,POLLY,1992-08-30 00:00:00,23.6,122.1,62,45.0,, , , , ,,4
1992237N14144,POLLY,1992-08-30 03:00:00,23.9,121.9,37,43.0,, , , , ,,4
1992237N14144,POLLY,1992-08-30 06:00:00,24.1,121.7,10,40.0,, , , , ,,3
1992237N14144,POLLY,1992-08-30 09:00:00,24.5,121.4,0,35.0,, , , , ,,3
1992237N14144,POLLY,1992-08-30 12:00:00,24.9,121.0,0,30.0,, , , , ,,3
1992237N14144,POLLY,1992-08-30 15:00:00,25.1,120.7,32,30.0,, , , , ,,3
1992237N14144,POLLY,1992-08-30 18:00:00,25.3,120.3,61,30.0,, , , , ,,3
1992237N14144,POLLY,1992-08-30 21:00:00,25.4,119.8,10,30.0,, , , , ,,3
1992237N14144,POLLY,1992-08-31 00:00:00,25.5,119.3,10,30.0,, , , , ,,2
1992237N14144,POLLY,1992-08-31 03:00:00,25.5,119.0,0,28.0,, , , , ,,2
1992237N14144,POLLY,1992-08-31 06:00:00,25.7,118.8,0,25.0,, , , , ,,2
1992237N14144,POLLY,1992-08-31 09:00:00,25.9,118.6,0,23.0,, , , , ,,2
1992237N14144,POLLY,1992-08-31 12:00:00,26.3,118.4,0,20.0,, , , , ,,1
1992237N14144,POLLY,1992-08-31 15:00:00,26.8,118.2,0,20.0,, , , , ,,1
1992237N14144,POLLY,1992-08-31 18:00:00,27.8,118.2,0,20.0,, , , , ,,0
1992237N14144,POLLY,1992-08-31 21:00:00,29.5,118.4,0,20.0,, , , , ,,0
1992237N14144,POLLY,1992-09-01 00:00:00,31.4,118.8,0,20.0,, , , , ,, 
