SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1992259N11159,TED,1992-09-20 09:00:00,18.5,124.2,200,53.0,, , , , ,,3
1992259N11159,TED,1992-09-20 12:00:00,18.7,123.6,141,55.0,, , , , ,,3
1992259N11159,TED,1992-09-20 15:00:00,18.8,123.1,95,58.0,, , , , ,,3
1992259N11159,TED,1992-09-20 18:00:00,18.9,122.8,76,60.0,, , , , ,,3
1992259N11159,TED,1992-09-20 21:00:00,19.0,122.6,74,60.0,, , , , ,,3
1992259N11159,TED,1992-09-21 00:00:00,19.1,122.5,81,60.0,, , , , ,,3
1992259N11159,TED,1992-09-21 03:00:00,19.3,122.3,100,60.0,, , , , ,,3
1992259N11159,TED,1992-09-21 06:00:00,19.6,122.2,134,60.0,, , , , ,,3
1992259N11159,TED,1992-09-21 09:00:00,19.9,122.1,167,60.0,, , , , ,,3
1992259N11159,TED,1992-09-21 15:00:00,20.7,121.9,169,63.0,, , , , ,,3
1992259N11159,TED,1992-09-21 18:00:00,21.1,121.9,136,65.0,, , , , ,,4
1992259N11159,TED,1992-09-21 21:00:00,21.4,121.8,108,65.0,, , , , ,,4
1992259N11159,TED,1992-09-22 00:00:00,21.9,121.8,92,65.0,, , , , ,,4
1992259N11159,TED,1992-09-22 03:00:00,22.7,121.6,45,63.0,, , , , ,,4
1992259N11159,TED,1992-09-22 06:00:00,23.5,121.5,10,60.0,, , , , ,,4
1992259N11159,TED,1992-09-22 09:00:00,24.3,121.3,0,58.0,, , , , ,,4
1992259N11159,TED,1992-09-22 12:00:00,25.1,121.1,10,55.0,, , , , ,,4
1992259N11159,TED,1992-09-22 15:00:00,25.7,121.0,68,53.0,, , , , ,,4
1992259N11159,TED,1992-09-22 18:00:00,26.4,120.9,82,50.0,, , , , ,,3
1992259N11159,TED,1992-09-22 21:00:00,27.1,120.9,41,50.0,, , , , ,,3
1992259N11159,TED,1992-09-23 00:00:00,27.9,120.8,0,50.0,, , , , ,,3
1992259N11159,TED,1992-09-23 03:00:00,28.7,120.7,0,48.0,, , , , ,,3
1992259N11159,TED,1992-09-23 06:00:00,29.4,120.7,0,45.0,, , , , ,,3
1992259N11159,TED,1992-09-23 09:00:00,30.0,120.6,0,45.0,, , , , ,,3
1992259N11159,TED,1992-09-23 12:00:00,30.6,120.7,0,45.0,, , , , ,,2
1992259N11159,TED,1992-09-23 15:00:00,31.3,120.9,0,45.0,, , , , ,,2
1992259N11159,TED,1992-09-23 18:00:00,32.0,121.2,0,45.0,, , , , ,,2
1992259N11159,TED,1992-09-23 21:00:00,32.8,121.6,48,43.0,, , , , ,,2
1992259N11159,TED,1992-09-24 00:00:00,33.6,122.2,143,40.0,, , , , ,,2
1992259N11159,TED,1992-09-24 06:00:00,34.8,124.5,158,40.0,, , , , ,,2
1992259N11159,TED,1992-09-24 09:00:00,35.5,125.9,49,40.0,, , , , ,,2
1992259N11159,TED,1992-09-24 12:00:00,36.0,127.5,0,40.0,, , , , ,,2
1992259N11159,TED,1992-09-24 15:00:00,36.9,129.5,8,38.0,, , , , ,,2
1992259N11159,TED,1992-09-24 18:00:00,37.8,131.3,184,35.0,, , , , ,,9
