SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1994211N12152,DOUG,1994-08-07 09:00:00,22.9,123.1,175,125.0,, , , , ,,5
1994211N12152,DOUG,1994-08-07 12:00:00,23.5,122.9,144,125.0,, , , , ,,5
1994211N12152,DOUG,1994-08-07 15:00:00,24.2,122.5,69,125.0,, , , , ,,5
1994211N12152,DOUG,1994-08-07 18:00:00,24.7,122.2,37,125.0,, , , , ,,5
1994211N12152,DOUG,1994-08-07 21:00:00,25.1,122.0,11,120.0,, , , , ,,5
1994211N12152,DOUG,1994-08-08 00:00:00,25.6,121.8,48,115.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 03:00:00,26.0,121.7,89,108.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 06:00:00,26.5,121.7,142,100.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 09:00:00,26.9,121.7,119,93.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 12:00:00,27.3,121.9,107,85.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 15:00:00,27.7,122.1,83,80.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 18:00:00,28.2,122.3,69,75.0,, , , , ,,4
1994211N12152,DOUG,1994-08-08 21:00:00,28.6,122.6,88,70.0,, , , , ,,4
1994211N12152,DOUG,1994-08-09 00:00:00,29.1,122.9,87,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 03:00:00,29.6,123.1,115,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 06:00:00,30.2,123.3,141,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 09:00:00,30.6,123.4,146,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 12:00:00,31.0,123.5,152,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 15:00:00,31.4,123.6,164,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 18:00:00,31.9,123.7,171,65.0,, , , , ,,3
1994211N12152,DOUG,1994-08-09 21:00:00,32.3,123.7,182,63.0,, , , , ,,3
1994211N12152,DOUG,1994-08-10 09:00:00,33.6,124.1,197,53.0,, , , , ,,3
1994211N12152,DOUG,1994-08-10 12:00:00,33.8,124.3,184,50.0,, , , , ,,3
1994211N12152,DOUG,1994-08-10 15:00:00,33.9,124.6,162,50.0,, , , , ,,3
1994211N12152,DOUG,1994-08-10 18:00:00,34.0,124.8,149,50.0,, , , , ,,2
1994211N12152,DOUG,1994-08-10 21:00:00,34.1,125.1,123,48.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 00:00:00,34.1,125.3,107,45.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 03:00:00,34.1,125.4,99,45.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 06:00:00,34.1,125.6,84,45.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 09:00:00,34.1,125.6,84,43.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 12:00:00,34.1,125.5,92,40.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 15:00:00,34.1,125.4,99,40.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 18:00:00,34.1,125.2,115,40.0,, , , , ,,2
1994211N12152,DOUG,1994-08-11 21:00:00,34.0,124.9,140,38.0,, , , , ,,2
1994211N12152,DOUG,1994-08-12 00:00:00,34.0,124.5,175,35.0,, , , , ,,2
1994211N12152,DOUG,1994-08-12 09:00:00,33.2,122.8,158,33.0,, , , , ,,2
1994211N12152,DOUG,1994-08-12 12:00:00,32.8,122.2,87,30.0,, , , , ,,1
1994211N12152,DOUG,1994-08-12 15:00:00,32.6,121.6,29,30.0,, , , , ,,1
1994211N12152,DOUG,1994-08-12 18:00:00,32.3,121.0,0,30.0,, , , , ,,1
1994211N12152,DOUG,1994-08-12 21:00:00,32.0,120.5,11,28.0,, , , , ,,1
1994211N12152,DOUG,1994-08-13 00:00:00,31.7,119.9,0,25.0,, , , , ,,1
1994211N12152,DOUG,1994-08-13 03:00:00,31.4,119.3,0,20.0,, , , , ,,1
1994211N12152,DOUG,1994-08-13 06:00:00,31.1,118.8,0,15.0,, , , , ,, 
