SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1995229N12144,JANIS,1995-08-24 06:00:00,27.0,123.0,200,50.0,, , , , ,,3
1995229N12144,JANIS,1995-08-24 09:00:00,27.2,122.7,163,53.0,, , , , ,,3
1995229N12144,JANIS,1995-08-24 12:00:00,27.5,122.5,125,55.0,, , , , ,,3
1995229N12144,JANIS,1995-08-24 15:00:00,27.7,122.1,83,55.0,, , , , ,,3
1995229N12144,JANIS,1995-08-24 18:00:00,28.0,121.8,38,55.0,, , , , ,,3
1995229N12144,JANIS,1995-08-24 21:00:00,28.3,121.5,0,53.0,, , , , ,,3
1995229N12144,JANIS,1995-08-25 00:00:00,28.7,121.2,0,50.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 03:00:00,29.1,121.1,0,48.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 06:00:00,29.7,121.0,0,45.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 09:00:00,30.3,121.1,11,40.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 12:00:00,30.9,121.2,0,35.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 15:00:00,31.6,121.3,9,35.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 18:00:00,32.4,121.5,9,35.0,, , , , ,,2
1995229N12144,JANIS,1995-08-25 21:00:00,33.2,121.9,98,38.0,, , , , ,,2
1995229N12144,JANIS,1995-08-26 00:00:00,34.1,122.4,178,40.0,, , , , ,,2
1995229N12144,JANIS,1995-08-26 06:00:00,35.7,123.7,171,45.0,, , , , ,,2
1995229N12144,JANIS,1995-08-26 09:00:00,36.3,124.7,132,48.0,, , , , ,,2
1995229N12144,JANIS,1995-08-26 12:00:00,36.8,125.8,28,50.0,, , , , ,,1
1995229N12144,JANIS,1995-08-26 15:00:00,37.4,126.6,0,45.0,, , , , ,,1
1995229N12144,JANIS,1995-08-26 18:00:00,37.8,127.6,0,40.0,, , , , ,,1
1995229N12144,JANIS,1995-08-26 21:00:00,38.1,128.8,14,40.0,, , , , ,,1
1995229N12144,JANIS,1995-08-27 00:00:00,38.4,130.2,123,40.0,, , , , ,,1
1995229N12144,JANIS,1995-08-27 15:00:00,39.9,137.4,195,40.0,, , , , ,,1
1995229N12144,JANIS,1995-08-27 18:00:00,40.3,138.9,81,40.0,, , , , ,,9
1995229N12144,JANIS,1995-08-27 21:00:00,40.6,140.5,0,40.0,, , , , ,,9
1995229N12144,JANIS,1995-08-28 00:00:00,40.7,142.2,53,40.0,, , , , ,,9
1995229N12144,JANIS,1995-08-28 03:00:00,40.5,143.9,166,40.0,, , , , ,,9
